County,Municipality,Registered Voters as  %  Population,% Democrats,% Republicans,Voter Turnout (%)
Monmouth,Union Beach,62.1,22.5,18.56,54.94
Atlantic,Folsom,67.11,20.05,36.99,70.49
Monmouth,Upper Freehold,69.86,15.67,45.7,77.27
Atlantic,Egg Harbor,63.36,32.6,22.1,67.47
Passaic,Pompton Lakes,67.67,22.16,26.8,65.33
Passaic,North Haledon,75.38,18.86,33.3,72.03
Passaic,Wayne,68.29,23.21,30.33,68.68
Passaic,Ringwood,72.45,19.77,30.62,71.16
Ocean,Surf City,91.8,15.07,40.88,59.12
Ocean,Seaside Heights,52.46,13.38,28.41,30.72
Passaic,Haledon,54.87,41.1,15.08,62.59
Passaic,Bloomingdale,67.83,25.81,23.37,69.19
Salem,Elmer,63.27,22.63,28.69,67.77
Salem,Mannington,57.46,22.39,27.61,70.85
Hunterdon,Lebanon Twp,70.17,15.97,39.89,71.54
Hunterdon,Raritan Twp,73.18,19.44,32.03,73.74
Hunterdon,Kingwood,73.11,13.47,51.32,73.86
Hunterdon,Lebanon,83.43,19.44,38.08,73.88
Hunterdon,West Amwell,57.6,22.88,38.45,72.87
Hunterdon,Readington,73.3,15.2,44.19,74.62
Hunterdon,Tewksbury,78.6,15.37,50.3,75.15
Hunterdon,Hampton Boro,66.64,19.98,29.8,66.89
Hunterdon,High Bridge,69.73,20.88,37.92,71.61
Hunterdon,Frenchtown,72.53,29.87,28.75,71.79
Camden,Tavistock,120,16.67,83.33,50
Camden,Winslow,68.44,43.11,11.43,64.62
Camden,Pine Hill,65.89,39.1,9.73,59.76
Camden,Somerdale,71.53,53.11,8.95,63.6
Cape May,Stone Harbor,91.57,8.78,70.64,81.84
Cape May,Lower Township,67.42,20.19,39.23,69.23
Cape May,Ocean City,80.44,19.92,43,71.81
Cumberland,Hopewell,70.1,23.99,25.43,65.33
Cumberland,Commercial,62.84,30.73,17.68,52.78
Cape May,Wildwood Crest,74.8,18.47,44.72,71.27
Cape May,West Cape May,81.21,31.42,35.37,77.11
Burlington,Springfield,71.85,16.81,50.93,75.99
Burlington,Westampton,66.45,39.07,19.67,77.1
Burlington,Woodland,53.39,15.83,44.39,69.13
Camden,Berlin,72.02,31.51,19.21,66.36
Camden,Brooklawn,68.1,40.26,12.88,62.07
Camden,Chesilhurst,76.08,57.2,6.63,61.36
Camden,Gibbsboro,78.15,36.98,20.24,69.95
Camden,Gloucester Twp,69.98,38.44,14.04,63.48
Camden,Haddonfield,86.84,34.8,23.37,69.47
Camden,Oaklyn,73.72,40.72,14.51,65.9
Camden,Magnolia,72.66,39.74,11.87,63.31
Burlington,Riverton,69.83,29.48,36.16,77.34
Burlington,Pemberton,64.54,26.98,31.74,72.59
Burlington,Riverside,53.66,34.32,16.32,67.94
Burlington,North Hanover,44.91,22.9,28.66,63.19
Burlington,Palmyra,66.65,38.56,19.76,74.49
Burlington,Mount Laurel,71.17,31.1,23.76,76.4
Burlington,New Hanover,9.44,22.37,43.29,60.11
Burlington,Medford,75.66,22.55,34.34,76.54
Burlington,Mount Holly,59.52,33.2,18.46,69.38
Burlington,Southampton,74.22,23.79,38.03,74.94
Burlington,Shamong,72.49,17.43,34.84,73.89
Burlington,Medford Lakes,75.08,23.52,32.29,77.31
Hunterdon,Union Twp,59.54,17.28,40.16,74.94
Hunterdon,Stockton,74.44,41.35,30.83,75.19
Hunterdon,Lambertville,85.9,44.21,17.45,71.63
Mercer,Lawrence,62.89,39.38,16.12,71.25
Mercer,Trenton,47.78,46.6,3.22,62.61
Mercer,Ewing,64.08,42.54,14.51,71.56
Mercer,Hightstown,55.18,36.41,18.76,70.44
Middlesex,Highland Park,63.31,56,7.8,68.39
Middlesex,Middlesex Borough,61.74,24.94,19.16,65.88
Middlesex,Carteret,54.16,40.42,9.98,62.34
Middlesex,East Brunswick,66.55,30.87,16.99,66.93
Hudson,Bayonne,53.44,52.5,8.95,59.42
Gloucester,Woodbury Heights,75.11,37.49,17.1,73.54
Hudson,Jersey City,52.35,46.61,6.12,56.69
Hudson,Harrison,42.81,54.97,5.49,58.47
Hudson,Secaucus,58.96,54.63,8.49,63.71
Hunterdon,Bethlehem,75.69,17.28,39.3,73.53
Hunterdon,Clinton,66.69,24.73,31.42,75.9
Hunterdon,Delaware,82.83,21.97,41.68,76.26
Hunterdon,Franklin Twp,75.54,16.17,44.65,75.4
Hunterdon,Glen Gardner,68.3,20.93,30.74,70.8
Hunterdon,Holland,74.45,17.4,40.55,72.02
Gloucester,Paulsboro,63.18,54,6.65,65.21
Gloucester,Newfield,74.94,43.85,20.88,70.28
Gloucester,National Park,68.5,47.53,10.03,63.03
Gloucester,Monroe,64.37,42.36,15.09,66.93
Gloucester,Logan,70.02,39.23,17.37,71.12
Gloucester,West Deptford,71.58,37,16.25,70.16
Gloucester,Westville,63.85,32.38,18.05,63.02
Gloucester,Washington Twp,73.31,33.32,23.71,69.81
Gloucester,Wenonah,78.62,32.36,25.39,77.7
Gloucester,South Harrison,70.18,31.19,29.45,74.44
Gloucester,Swedesboro,57.11,29.6,19.65,66.5
Essex,Millburn,72.46,31.71,21.59,79.4
Essex,Irvington,56.82,51.3,1.33,61.92
Cumberland,Upper Deerfield,69.26,24.36,22.85,65.53
Cumberland,Millville,65.76,26.22,15.2,58.84
Essex,Cedar Grove,71.28,25.46,25.35,69.95
Essex,Belleville,57.1,36.08,13.26,62.83
Essex,Roseland,82.12,29.94,30.86,70.88
Essex,Verona,77.63,31.79,22.87,70.85
Gloucester,Clayton,63.17,35.3,16.63,68.18
Gloucester,Glassboro,57.17,36.13,13.98,67.12
Essex,North Caldwell,76.59,23.48,32.54,69.21
Bergen,Woodcliff Lake,76.8,25.17,23.76,71.44
Sussex,Andover Twp,64.81,15.17,45.36,68.9
Bergen,Wood-Ridge,60.84,30.26,17.29,76.03
Somerset,Watchung,75.33,19.75,33.87,66.67
Bergen,Washington Twp,71.79,20.57,36.41,74.65
Bergen,Waldwick,66.38,21.74,25.12,74.29
Sussex,Green,69.06,13.12,41.52,70.28
Sussex,Fredon,73.4,12.55,46.45,76.15
Sussex,Frankford,73.64,12.64,56.9,71.85
Burlington,Bordentown,67.26,35.15,18.79,74.18
Burlington,Bass River,65.63,19.02,33.11,66.56
Sussex,Branchville,70.67,13.89,53.34,72.38
Sussex,Lafayette,72.34,12.95,45.34,72.67
Sussex,Montague,62.82,12.9,51.94,64.92
Sussex,Hamburg,65.59,16.16,35.84,64.97
Sussex,Hardyston,69.95,16.01,34.91,66.84
Bergen,Tenafly,63.7,35.03,15.8,67.38
Bergen,Upper Saddle River,72.26,16.42,31.78,69.72
Bergen,Saddle Brook,62.68,32.67,18.64,72.07
Bergen,South Hackensack,56.32,24.05,21.42,70.39
Bergen,Ramsey,70.22,20.94,27.21,73.47
Bergen,Paramus,66.4,25.67,20.12,69.44
Bergen,Ridgewood,67.94,28.06,24.78,71.43
Somerset,Branchburg,72.25,17.53,36.98,72.08
