County,Municipality,President DEM,President REP,US Senate DEM,US Senate REP,Congress DEM,Congress REP
Burlington,Southampton,"2,547","3,166","2,384","3,020","1,800","3,641"
Burlington,Shamong,"1,348","2,084","1,314","1,951",977,"2,315"
Burlington,Medford Lakes,"1,197","1,194","1,102","1,164",884,"1,404"
Hunterdon,Union Twp,955,"1,545",865,"1,448",697,"1,565"
Hunterdon,Stockton,174,120,164,109,126,150
Hunterdon,Lambertville,"1,684",627,"1,605",547,"1,406",694
Mercer,Lawrence,"9,798","4,688","9,389","4,302","10,088","3,734"
Mercer,Trenton,"23,125","1,528","21,040","1,302","20,497","1,204"
Mercer,Ewing,"11,910","4,218","11,251","3,970","11,861","3,379"
Mercer,Hightstown,"1,369",707,"1,262",711,"1,307",649
Middlesex,Highland Park,"4,470","1,528","4,435","1,239","4,479","1,153"
Middlesex,Middlesex Borough,"2,819","2,645","2,698","2,341","2,521","2,265"
Middlesex,Carteret,"5,997","2,002","5,761","1,628","5,436","1,573"
Middlesex,East Brunswick,"11,848","9,064","11,365","8,407","12,028","7,488"
Hudson,Bayonne,"13,467","6,605","12,735","5,067","11,085","4,992"
Gloucester,Woodbury Heights,946,702,986,605,"1,020",555
Hudson,Jersey City,"64,052","10,120","56,469","8,077","108,720","96,859"
Hudson,Harrison,"2,699",689,"2,458",520,"2,134",515
Hudson,Secaucus,"4,188","2,609","3,940","1,942","3,723","1,593"
Hunterdon,Bethlehem,800,"1,323",755,"1,217",597,"1,335"
Hunterdon,Clinton,623,693,564,669,447,761
Hunterdon,Delaware,"1,168","1,618","1,088","1,511",900,"1,665"
Hunterdon,Franklin Twp,588,"1,166",541,"1,066",415,"1,163"
Hunterdon,Glen Gardner,347,438,316,408,266,445
Hunterdon,Holland,"1,041","1,680",930,"1,516",669,"1,759"
Gloucester,Paulsboro,"1,945",501,"1,934",380,"1,925",360
Gloucester,Newfield,388,405,401,335,248,504
Gloucester,National Park,819,442,836,373,853,344
Gloucester,Monroe,"8,986","6,513","9,085","5,573","9,342","5,198"
Gloucester,Logan,"1,779","1,157","1,768","1,042","1,827",958
Gloucester,West Deptford,"6,119","4,463","6,122","4,001","6,149","3,952"
Gloucester,Westville,967,685,950,617,"1,008",549
Gloucester,Washington Twp,"12,050","12,169","12,311","10,774","12,706","10,055"
Gloucester,Wenonah,727,619,696,579,693,564
Gloucester,South Harrison,625,"1,008",616,920,500,"1,021"
Gloucester,Swedesboro,632,417,597,389,496,492
Essex,Millburn,"5,142","4,087","5,027","3,670","3,926","3,674"
Essex,Irvington,"18,538",363,"16,644",309,"16,264",293
Cumberland,Upper Deerfield,"1,614","1,839","1,639","1,556","1,052","2,212"
Cumberland,Millville,"6,653","4,182","6,230","3,431","4,453","5,334"
Essex,Cedar Grove,"2,621","3,541","2,458","2,871","2,042","3,030"
Essex,Belleville,"8,031","4,071","7,117","3,044","6,022","2,969"
Essex,Roseland,"1,391","1,983","1,356","1,642","1,345","1,697"
Essex,Verona,"3,662","3,563","3,359","2,943","2,913","3,143"
Gloucester,Clayton,"2,247","1,206","2,239","1,040","1,812","1,473"
Gloucester,Glassboro,"4,578","2,485","4,520","2,184","4,511","2,109"
Essex,North Caldwell,"1,253","2,043","1,222","1,734","1,027","1,885"
Bergen,Woodcliff Lake,"1,374","1,792","1,387","1,527","1,115","1,709"
Sussex,Andover Twp,"1,034","1,703",998,"1,614",782,"1,796"
Bergen,Wood-Ridge,"2,028","1,777","2,004","1,473","2,206","1,186"
Somerset,Watchung,"1,198","1,687","1,148","1,565","1,008","1,625"
Bergen,Washington Twp,"2,000","2,883","1,872","2,514","1,550","2,679"
Bergen,Waldwick,"2,169","2,606","2,036","2,268","1,599","2,587"
Sussex,Green,525,"1,206",513,"1,139",398,"1,222"
Sussex,Fredon,610,"1,237",564,"1,207",439,"1,311"
Sussex,Frankford,953,"1,901",936,"1,803",720,"2,013"
Burlington,Bordentown,"1,298",605,"1,190",601,"1,063",725
Burlington,Bass River,236,371,232,343,183,389
Sussex,Branchville,156,259,155,235,96,295
Sussex,Lafayette,431,867,396,826,311,907
Sussex,Montague,530,"1,001",517,953,384,"1,055"
Sussex,Hamburg,594,733,570,681,456,813
Sussex,Hardyston,"1,531","2,186","1,478","2,071","1,177","2,309"
Bergen,Tenafly,"3,694","2,489","3,628","2,107","3,594","1,994"
Bergen,Upper Saddle River,"1,405","2,726","1,353","2,450","1,132","2,644"
Bergen,Saddle Brook,"3,264","2,945","3,016","2,343","3,278","1,835"
Bergen,South Hackensack,551,389,496,302,479,279
Bergen,Ramsey,"3,167","4,333","2,951","3,970","2,455","4,354"
Bergen,Paramus,"5,907","6,123","5,852","5,232","4,807","5,839"
Bergen,Ridgewood,"6,181","5,852","5,806","5,337","5,094","5,755"
Somerset,Branchburg,"2,902","4,537","2,747","4,306","2,295","4,539"
