County  ,Municipality  ,Workforce,Unemployed,% Unemployed
Burlington,Pemberton,765,87,11.41
Burlington,Riverside,"4,898",494,10.09
Burlington,North Hanover,"3,532",407,11.53
Burlington,Palmyra,"4,781",552,11.56
Burlington,Mount Laurel,"23,858","1,764",7.39
Burlington,New Hanover,"1,060",87,8.23
Burlington,Medford,"13,157",756,5.75
Burlington,Mount Holly,"6,117",872,14.26
Burlington,Southampton,"5,371",640,11.91
Burlington,Shamong,"4,104",291,7.09
Burlington,Medford Lakes,"2,640",116,4.41
Hunterdon,Union Twp,"2,610",189,7.23
Hunterdon,Stockton,335,0,0
Hunterdon,Lambertville,"2,788",220,7.89
Mercer,Lawrence,"20,078","1,252",6.24
Mercer,Trenton,"40,827","5,127",12.56
Mercer,Ewing,"21,333","1,680",7.88
Mercer,Hightstown,"4,024",340,8.44
Middlesex,Highland Park,"8,881",686,7.73
Middlesex,Middlesex Borough,"8,111",480,5.92
Middlesex,Carteret,"11,406","1,669",14.64
Middlesex,East Brunswick,"26,957","1,986",7.37
Hudson,Bayonne,"31,503","3,602",11.43
Gloucester,Woodbury Heights,"1,846",135,7.29
Hudson,Jersey City,"118,892","12,927",10.87
Hudson,Harrison,"7,474",909,12.16
Hudson,Secaucus,"7,661",413,5.39
Hunterdon,Bethlehem,"2,191",94,4.3
Hunterdon,Clinton,"1,656",94,5.69
Hunterdon,Delaware,"2,683",126,4.69
Hunterdon,Franklin Twp,"1,855",157,8.47
Hunterdon,Glen Gardner,"1,174",63,5.35
Hunterdon,Holland,"2,977",251,8.45
Gloucester,Paulsboro,"3,857",888,23.03
Gloucester,Newfield,"1,086",108,9.92
Gloucester,National Park,"2,059",242,11.77
Gloucester,Monroe,"19,524","2,038",10.44
Gloucester,Logan,"3,736",161,4.32
Gloucester,West Deptford,"13,320","1,211",9.09
Gloucester,Westville,"2,966",323,10.89
Gloucester,Washington Twp,"27,519","2,229",8.1
Gloucester,Wenonah,"1,462",135,9.21
Gloucester,South Harrison,"1,447",108,7.44
Gloucester,Swedesboro,"1,241",135,10.85
Essex,Millburn,"9,374",445,4.75
Essex,Irvington,"26,496","3,412",12.88
Cumberland,Upper Deerfield,"3,802",513,13.5
Cumberland,Millville,"13,762","1,962",14.26
Essex,Cedar Grove,"6,123",167,2.73
Essex,Belleville,"19,242","2,083",10.83
Essex,Roseland,"2,952",223,7.54
Essex,Verona,"7,310",390,5.33
Gloucester,Clayton,"4,684",458,9.77
Gloucester,Glassboro,"10,727","1,238",11.54
Essex,North Caldwell,"3,388",223,6.57
Bergen,Woodcliff Lake,"2,807",93,3.32
Sussex,Andover Twp,"3,103",183,5.9
Bergen,Wood-Ridge,"4,358",303,6.95
Somerset,Watchung,"3,002",198,6.58
Bergen,Washington Twp,"5,119",419,8.19
Bergen,Waldwick,"5,332",233,4.37
Sussex,Green,"1,904",152,8
Sussex,Fredon,"1,750",61,3.48
Sussex,Frankford,"3,039",244,8.03
Burlington,Bordentown,"2,720",262,9.62
Burlington,Bass River,929,87,9.39
Sussex,Branchville,488,61,12.48
Sussex,Lafayette,"1,404",152,10.86
Sussex,Montague,"1,921",305,15.87
Sussex,Hamburg,"1,914",183,9.56
Sussex,Hardyston,"3,744",396,10.59
Bergen,Tenafly,"7,010",559,7.98
Bergen,Upper Saddle River,"3,811",350,9.17
Bergen,Saddle Brook,"7,577",839,11.07
Bergen,South Hackensack,"1,287",140,10.87
Bergen,Ramsey,"7,910",466,5.89
Bergen,Paramus,"12,992",971,7.47
Bergen,Ridgewood,"12,100",708,5.85
Somerset,Branchburg,"8,980",480,5.34
Bergen,Ridgefield,"5,532",443,8
Bergen,Rochelle Park,"3,014",280,9.28
Somerset,Franklin Twp,"36,348","3,004",8.26
Bergen,River Vale,"4,708",233,4.95
Somerset,Bridgewater,"25,237","1,744",6.91
Somerset,Millstone,260,0,0
Bergen,Rutherford,"10,370",909,8.76
Somerset,Hillsborough,"22,556","1,598",7.08
Somerset,Montgomery,"9,734",508,5.22
Somerset,Peapack Gladstone,"1,341",85,6.31
Somerset,Rocky Hill,429,28,6.58
Somerset,Somerville,"7,424",818,11.02
Somerset,Warren,"7,713",339,4.39
Bergen,Oakland,"7,242",443,6.11
Bergen,Old Tappan,"2,777",186,6.71
Bergen,Palisades Park,"9,592",909,9.47
Monmouth,Wall,"14,045","1,174",8.36
Monmouth,Tinton Falls,"8,536",722,8.46
Monmouth,Spring Lake,"1,585",153,9.66
Monmouth,Rumson,"3,169",175,5.52
Monmouth,Oceanport,"2,884",131,4.55
Monmouth,Neptune Twp,"14,998","1,803",12.02
Monmouth,Millstone Twp,"4,440",175,3.94
Monmouth,Howell,"27,671","2,472",8.93
Monmouth,Matawan,"5,210",481,9.24
Monmouth,Loch Arbour,173,22,12.61
Monmouth,Keyport,"4,259",438,10.28
Monmouth,Hazlet,"11,364","1,050",9.24
Monmouth,Freehold,"6,252",788,12.6
Monmouth,Fair Haven,"2,847",175,6.15
Cumberland,Bridgeton,"8,377","1,276",15.23
Cape May,Woodbine,"1,148",159,13.89
Monmouth,Bradley Beach,"2,933",372,12.68
Cumberland,Fairfield,"2,558",577,22.57
Monmouth,Avon By The Sea,"1,269",109,8.62
Cumberland,Deerfield,"1,500",192,12.83
Monmouth,Allentown,"1,136",88,7.71
Monmouth,Aberdeen,"10,199",722,7.08
Cumberland,Lawrence,"1,343",214,15.92
Middlesex,South River,"9,151","1,075",11.75
Cumberland,Greenwich,479,43,8.94
Sussex,Vernon,"13,454","1,382",10.27
Middlesex,South Brunswick,"25,268","1,728",6.84
Sussex,Sussex,"1,206",122,10.1
Burlington,Maple Shade,"12,392","1,105",8.92
Union,Berkeley Heights,"6,587",307,4.65
Sussex,Walpack,21,0,0
Burlington,Fieldsboro,375,58,15.49
Sussex,Ogdensburg,"1,561",122,7.81
Burlington,Edgewater Park,"5,112",611,11.95
Sussex,Stanhope,"2,268",183,8.06
Burlington,Lumberton,"5,954",523,8.79
Sussex,Sandyston,"1,051",91,8.7
Burlington,Florence,"6,722",843,12.55
Burlington,Burlington Twp,"12,188","1,163",9.54
Burlington,Cinnaminson,"8,605",814,9.46
Burlington,Delanco,"2,072",291,14.04
Burlington,Eastampton,"3,933",262,6.65
Union,Cranford,"12,532",684,5.46
Union,Elizabeth,"56,894","7,319",12.86
Union,Garwood,"2,503",141,5.65
Burlington,Bordentown Twp,"5,597",494,8.83
Cumberland,Maurice River,"1,878",214,11.39
Cumberland,Shiloh,320,43,13.36
Cumberland,Stow Creek,789,86,10.84
Cumberland,Vineland,"29,184","4,041",13.85
Middlesex,New Brunswick,"29,840","2,297",7.7
Middlesex,Plainsboro,"13,807",640,4.64
Morris,Parsippany-Troy Hills,"32,263","2,355",7.3
Morris,Randolph,"14,327",970,6.77
Cape May,Dennis,"3,908",319,8.16
Cape May,Middle Township,"9,084","1,076",11.85
Cape May,Avalon,"1,037",60,5.77
Cape May,Cape May Point,57,0,0
Camden,Woodlynne,"1,439",181,12.57
Cape May,Wildwood,"3,388","1,036",30.59
Cape May,West Wildwood,298,60,20.04
Cape May,Upper Township,"7,114",299,4.2
Cape May,Sea Isle City,"1,633",179,10.98
Cape May,North Wildwood,"2,855",618,21.64
Ocean,South Toms River,"2,176",373,17.14
Ocean,Seaside Park,"1,381",187,13.51
Morris,Rockaway Twp,"14,011","1,036",7.39
Morris,Rockaway,"4,158",452,10.88
Passaic,Clifton,"43,805","4,407",10.06
Ocean,Tuckerton,"1,985",293,14.76
Ocean,Toms River,"48,130","4,826",10.03
Ocean,Stafford,"13,555","1,396",10.3
Morris,Kinnelon,"5,036",240,4.76
Camden,Laurel Springs,"1,117",90,8.1
Camden,Lindenwold,"10,667","1,719",16.11
Camden,Merchantville,"2,098",136,6.46
Camden,Mount Ephraim,"2,445",271,11.09
Camden,Waterford,"6,240",633,10.15
Camden,Voorhees,"16,247","1,205",7.42
Morris,Netcong,"1,555",106,6.84
Camden,Pine Valley,0,0,-
Camden,Pennsauken,"18,252","2,147",11.76
Camden,Stratford,"3,840",317,8.25
Camden,Runnemede,"4,778",611,12.78
Morris,Madison,"7,978",399,5
Morris,Lincoln Park,"6,588",479,7.27
Morris,Mine Hill,"2,097",186,8.88
Morris,Mendham,"2,431",80,3.29
Morris,Morris Twp,"12,230",852,6.96
Morris,Montville,"12,251",506,4.13
Morris,Mount Olive,"16,608","1,377",8.29
Morris,Morristown,"11,594",825,7.11
Salem,Oldmans,955,94,9.84
Salem,Pennsville,"6,753",526,7.79
Salem,Elsinboro,535,19,3.51
Salem,Lower Alloways Creek,936,56,6.02
Camden,Berlin Twp,"2,879",181,6.29
Camden,Camden,"27,407","5,064",18.48
Camden,Bellmawr,"6,232",565,9.07
Camden,Gloucester City,"6,038",995,16.48
Camden,Collingswood,"8,436",837,9.92
Camden,Clementon,"3,006",520,17.3
Camden,Cherry Hill,"37,650","2,759",7.33
Camden,Hi-Nella,616,113,18.35
Camden,Haddon Twp,"7,823",565,7.23
Camden,Haddon Heights,"4,038",294,7.28
Somerset,Bernardsville,"4,223",141,3.34
Somerset,Bernards Twp,"13,932",804,5.77
Salem,Woodstown,"1,557",94,6.03
Salem,Salem,"2,269",395,17.39
Salem,Quinton,"1,289",150,11.66
Salem,Pilesgrove,"1,900",169,8.9
Passaic,Hawthorne,"11,039",765,6.93
Passaic,Little Falls,"6,624",686,10.36
Passaic,Passaic,"30,000","3,973",13.24
Somerset,Bedminster,"5,742",339,5.9
Somerset,South Bound Brook,"2,857",367,12.84
Warren,Washington Twp,"3,747",392,10.47
Sussex,Stillwater,"2,542",91,3.6
Burlington,Washington Twp,204,29,14.28
Burlington,Tabernacle,"4,494",233,5.18
Burlington,Wrightstown,430,58,13.52
Burlington,Willingboro,"16,503","2,036",12.34
Camden,Barrington,"3,915",271,6.93
Camden,Audubon,"4,892",181,3.7
Passaic,Woodland Park,"6,733",528,7.84
Passaic,West Milford,"14,992","1,290",8.6
Salem,Carneys Point,"3,778",564,14.92
Passaic,Prospect Park,"3,161",449,14.19
Passaic,Paterson,"60,839","10,018",16.47
Passaic,Wanaque,"6,370",528,8.29
Passaic,Totowa,"5,394",396,7.34
