,,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Graduates,Graduates,Graduates,Graduates,Graduates,HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%)
County  ,School District Name  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  
Bergen,Waldwick,-,115,116,111,130,-,111,110,106,127,-,96.52,94.83,95.5,97.69
Ocean,Berkeley Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape May,Lower Township,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Upper Saddle River,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape May,Lower Cape May Regional,-,253,223,232,235,-,203,181,183,201,-,80.24,81.17,78.88,85.53
Bergen,Teterboro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape May,Dennis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Tenafly,-,301,304,281,288,-,292,299,277,281,-,97.01,98.36,98.58,97.57
Ocean,Eagleswood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Island Heights,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Brick,-,856,808,736,764,-,769,733,669,694,-,89.84,90.72,90.9,90.84
Ocean,Central Regional,-,320,349,356,322,-,269,304,308,288,-,84.06,87.11,86.52,89.44
Bergen,Wallington,-,98,98,97,82,-,94,94,92,78,-,95.92,95.92,94.85,95.12
Bergen,Rutherford,-,206,208,188,184,-,195,195,170,172,-,94.66,93.75,90.43,93.48
Cape May,West Cape May,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape May,Upper Township,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Teaneck,-,325,354,365,374,-,293,327,324,346,-,90.15,92.37,88.77,92.51
Cape May,Stone Harbor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,South Hackensack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape May,Sea Isle City,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Saddle River,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape May,Ocean City,-,319,314,326,330,-,309,299,314,318,-,96.87,95.22,96.32,96.36
Cape May,North Wildwood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Saddle Brook,-,122,130,152,111,-,113,122,142,108,-,92.62,93.85,93.42,97.3
Salem,Elsinboro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salem,Lower Alloways Creek,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salem,Mannington,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salem,Oldmans,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salem,Penns Grove-Carneys Point Regional,-,139,162,139,150,-,103,117,80,114,-,74.1,72.22,57.55,76
Atlantic,Buena Regional,-,180,205,169,159,-,163,188,147,132,-,90.56,91.71,86.98,83.02
Salem,Pennsville,-,130,136,111,146,-,108,121,99,131,-,83.08,88.97,89.19,89.73
Atlantic,Corbin City,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salem,Pittsgrove,-,139,149,149,164,-,131,135,141,154,-,94.24,90.6,94.63,93.9
Atlantic,Egg Harbor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salem,Quinton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salem,Salem,-,75,83,76,77,-,58,71,67,71,-,77.33,85.54,88.16,92.21
Ocean,Pinelands Regional,-,271,275,270,252,-,251,238,248,233,-,92.62,86.55,91.85,92.46
Atlantic,Absecon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salem,Salem County Vocational,-,148,147,189,186,-,146,141,178,180,-,98.65,95.92,94.18,96.77
Ocean,Ocean Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Atlantic,Atlantic City,-,582,549,514,540,-,429,418,414,438,-,73.71,76.14,80.54,81.11
Atlantic,Atlantic County Vocational,-,260,312,318,337,-,255,309,314,334,-,98.08,99.04,98.74,99.11
Ocean,Plumsted,-,113,137,133,130,-,109,128,127,122,-,96.46,93.43,95.49,93.85
Atlantic,Brigantine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Washington,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Washington Twp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,White,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Burlington,-,144,143,134,140,-,113,124,115,126,-,78.47,86.71,85.82,90
Cape May,Wildwood Crest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Lavallette,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Bordentown Regional,-,191,191,182,191,-,169,178,163,184,-,88.48,93.19,89.56,96.34
Cape May,Wildwood,-,83,67,83,63,-,64,53,63,49,-,77.11,79.1,75.9,77.78
Ocean,Little Egg Harbor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Burlington Twp,-,339,310,342,325,-,323,296,331,306,-,95.28,95.48,96.78,94.15
Cumberland,Bridgeton,-,283,311,317,373,-,216,245,232,263,-,76.33,78.78,73.19,70.51
Ocean,Long Beach Island Consolidated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Burlington County Vocational,-,510,498,460,467,-,494,484,446,455,-,96.86,97.19,96.96,97.43
Cape May,Woodbine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Manchester,-,252,231,241,261,-,218,217,218,251,-,86.51,93.94,90.46,96.17
Ocean,Matoloking,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Ocean County Vocational,-,124,127,162,159,-,122,127,159,153,-,98.39,100,98.15,96.23
Cape May,West Wildwood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Ocean Gate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Downe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Wood-Ridge,-,118,106,87,121,-,108,93,83,110,-,91.53,87.74,95.4,90.91
Bergen,Westwood Regional,-,214,186,187,245,-,207,179,184,240,-,96.73,96.24,98.4,97.96
Bergen,Wyckoff,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Cumberland County Vocational,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Woodcliff Lake,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Commercial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Beverly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Deerfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Bass River,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cumberland,Cumberland Regional,-,355,334,334,340,-,319,289,294,315,-,89.86,86.53,88.02,92.65
Monmouth,Rumson-Fair Haven Regional,-,187,239,261,256,-,184,238,252,252,-,98.4,99.58,96.55,98.44
Monmouth,Sea Bright,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Roosevelt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Rumson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Gloucester County Vocational,-,243,226,225,195,-,238,224,220,193,-,97.94,99.12,97.78,98.97
Monmouth,Red Bank,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Glassboro,-,177,157,140,161,-,158,139,132,141,-,89.27,88.54,94.29,87.58
Monmouth,Red Bank Regional,-,326,309,303,314,-,313,298,292,294,-,96.01,96.44,96.37,93.63
Monmouth,Ocean Twp,-,307,332,306,295,-,289,302,286,281,-,94.14,90.96,93.46,95.25
Monmouth,Oceanport,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Sea Girt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monmouth,Shore Regional,-,162,165,163,146,-,159,159,153,139,-,98.15,96.36,93.87,95.21
Burlington,Edgewater Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Evesham,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Delran,-,208,218,235,227,-,192,208,214,216,-,92.31,95.41,91.06,95.15
Burlington,Eastampton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Cinnaminson,-,179,193,209,214,-,172,186,199,208,-,96.09,96.37,95.22,97.2
Burlington,Delanco,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burlington,Chesterfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gloucester,Kingsway Regional,-,419,423,463,476,-,398,397,444,466,-,94.99,93.85,95.9,97.9
