"","","","","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Housing Units","Housing Units","Housing Units","Housing Units","Housing Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units"
"Sussex","Ogdensburg","24","11","0","0","1","0","0","0","0","0","0","0","121","147","96","110","-","1,399","1,377","1,354","1,313","-","217,424","212,405","208,349","213,699","221,782","905","905","905","905","905","864","864","864","864","864","95.47","95.47","95.47","95.47","95.47","735","735","735","735","735","85.07","85.07","85.07","85.07","85.07"
"Burlington","Edgewater Park","7","3","0","5","40","61","10","0","0","0","3","0","1,307","1,393","1,392","1,482","-","1,127","1,093","1,094","1,206","-","185,789","171,983","173,214","167,324","168,210","3,926","3,926","3,926","3,926","3,926","3,683","3,683","3,683","3,683","3,683","93.81","93.81","93.81","93.81","93.81","2,272","2,272","2,272","2,272","2,272","61.69","61.69","61.69","61.69","61.69"
"Sussex","Stanhope","24","11","1","0","0","0","1","0","0","0","0","0","191","120","138","170","-","1,212","1,510","1,627","1,528","-","214,262","210,627","207,599","204,591","210,870","1,472","1,472","1,472","1,472","1,472","1,396","1,396","1,396","1,396","1,396","94.84","94.84","94.84","94.84","94.84","1,180","1,180","1,180","1,180","1,180","84.53","84.53","84.53","84.53","84.53"
"Burlington","Lumberton","8","3","1","2","1","16","14","2","0","1","5","10","1,222","1,179","1,240","1,336","-","1,114","1,115","1,104","1,199","-","294,437","287,879","295,885","295,547","299,914","4,719","4,719","4,719","4,719","4,719","4,540","4,540","4,540","4,540","4,540","96.21","96.21","96.21","96.21","96.21","3,244","3,244","3,244","3,244","3,244","71.45","71.45","71.45","71.45","71.45"
"Sussex","Sandyston","24","5","0","1","1","0","2","0","0","0","0","2","49","59","63","70","-","1,285","1,354","1,346","1,466","-","233,795","227,980","226,841","232,695","228,534","988","988","988","988","988","788","788","788","788","788","79.76","79.76","79.76","79.76","79.76","698","698","698","698","698","88.58","88.58","88.58","88.58","88.58"
"Burlington","Florence","7","3","19","21","2","0","38","36","65","0","3","0","617","722","737","836","-","988","961","982","1,063","-","204,071","208,097","216,681","217,917","218,983","5,053","5,053","5,053","5,053","5,053","4,775","4,775","4,775","4,775","4,775","94.5","94.5","94.5","94.5","94.5","3,854","3,854","3,854","3,854","3,854","80.71","80.71","80.71","80.71","80.71"
"Burlington","Burlington Twp","7","3","75","52","41","90","27","68","69","3","87","53","1,534","1,674","1,717","1,809","-","1,061","1,071","1,069","1,067","-","238,140","258,634","247,620","236,689","247,906","8,105","8,105","8,105","8,105","8,105","7,797","7,797","7,797","7,797","7,797","96.2","96.2","96.2","96.2","96.2","6,114","6,114","6,114","6,114","6,114","78.41","78.41","78.41","78.41","78.41"
"Burlington","Cinnaminson","7","3","45","10","3","5","98","34","22","0","7","2","556","715","690","597","-","1,595","1,547","1,577","1,543","-","253,023","258,305","260,301","258,481","255,682","5,758","5,758","5,758","5,758","5,758","5,535","5,535","5,535","5,535","5,535","96.13","96.13","96.13","96.13","96.13","5,174","5,174","5,174","5,174","5,174","93.48","93.48","93.48","93.48","93.48"
"Burlington","Delanco","7","3","0","0","0","0","0","1","0","0","0","0","329","361","416","443","-","1,042","987","1,071","1,233","-","200,936","199,638","199,335","200,461","198,135","1,853","1,853","1,853","1,853","1,853","1,755","1,755","1,755","1,755","1,755","94.71","94.71","94.71","94.71","94.71","1,446","1,446","1,446","1,446","1,446","82.39","82.39","82.39","82.39","82.39"
"Burlington","Eastampton","8","3","0","0","103","85","181","0","0","0","9","93","694","699","563","559","-","1,082","1,103","1,101","1,144","-","239,461","233,346","232,282","232,003","237,899","2,380","2,380","2,380","2,380","2,380","2,281","2,281","2,281","2,281","2,281","95.84","95.84","95.84","95.84","95.84","1,556","1,556","1,556","1,556","1,556","68.22","68.22","68.22","68.22","68.22"
"Union","Cranford","21","7","31","11","9","13","219","103","175","1","7","5","1,608","1,667","1,807","1,790","-","1,440","1,404","1,465","1,566","-","426,748","442,591","465,143","501,865","515,621","8,816","8,816","8,816","8,816","8,816","8,583","8,583","8,583","8,583","8,583","97.36","97.36","97.36","97.36","97.36","6,994","6,994","6,994","6,994","6,994","81.49","81.49","81.49","81.49","81.49"
"Union","Elizabeth","20","8","236","174","674","239","381","69","54","14","218","413","28,020","28,729","29,430","29,609","-","1,069","1,062","1,074","1,110","-","263,418","259,451","265,013","286,380","314,050","45,516","45,516","45,516","45,516","45,516","41,596","41,596","41,596","41,596","41,596","91.39","91.39","91.39","91.39","91.39","11,117","11,117","11,117","11,117","11,117","26.73","26.73","26.73","26.73","26.73"
"Union","Garwood","21","7","2","2","1","3","1","0","1","0","1","3","579","586","618","640","-","1,435","1,400","1,367","1,433","-","350,344","344,771","364,352","400,316","406,381","1,870","1,870","1,870","1,870","1,870","1,778","1,778","1,778","1,778","1,778","95.08","95.08","95.08","95.08","95.08","1,120","1,120","1,120","1,120","1,120","62.99","62.99","62.99","62.99","62.99"
"Burlington","Bordentown Twp","7","3","68","88","7","76","1","73","87","0","4","1","953","839","861","987","-","1,060","1,022","1,068","1,131","-","270,544","269,084","278,425","280,601","283,448","4,360","4,360","4,360","4,360","4,360","4,173","4,173","4,173","4,173","4,173","95.71","95.71","95.71","95.71","95.71","3,289","3,289","3,289","3,289","3,289","78.82","78.82","78.82","78.82","78.82"
"Cumberland","Maurice River","1","2","2","5","0","4","11","3","1","0","1","10","249","194","163","87","-","974","974","945","965","-","174,323","169,550","170,945","161,294","163,780","1,506","1,506","1,506","1,506","1,506","1,364","1,364","1,364","1,364","1,364","90.57","90.57","90.57","90.57","90.57","1,195","1,195","1,195","1,195","1,195","87.61","87.61","87.61","87.61","87.61"
"Cumberland","Shiloh","1","2","0","0","0","0","0","0","0","0","0","0","39","41","33","33","-","883","861","844","817","-","141,265","130,227","140,980","144,953","147,043","214","214","214","214","214","198","198","198","198","198","92.52","92.52","92.52","92.52","92.52","162","162","162","162","162","81.82","81.82","81.82","81.82","81.82"
"Cumberland","Stow Creek","1","2","1","1","0","1","3","0","3","0","1","0","69","70","73","88","-","1,193","1,118","1,172","1,221","-","164,376","160,885","166,436","185,181","183,135","568","568","568","568","568","543","543","543","543","543","95.6","95.6","95.6","95.6","95.6","478","478","478","478","478","88.03","88.03","88.03","88.03","88.03"
"Cumberland","Vineland","1","2","103","89","20","5","22","91","31","-","106","24","6,736","6,731","7,240","7,194","-","996","971","979","975","-","161,008","169,594","167,429","170,392","170,101","22,661","22,661","22,661","22,661","22,661","21,450","21,450","21,450","21,450","21,450","94.66","94.66","94.66","94.66","94.66","14,591","14,591","14,591","14,591","14,591","68.02","68.02","68.02","68.02","68.02"
"Middlesex","New Brunswick","17","6","544","28","29","272","394","67","54","0","3","27","10,830","11,346","11,422","11,834","-","1,370","1,343","1,381","1,395","-","303,032","294,721","301,586","272,118","271,326","15,053","15,053","15,053","15,053","15,053","14,119","14,119","14,119","14,119","14,119","93.8","93.8","93.8","93.8","93.8","3,372","3,372","3,372","3,372","3,372","23.88","23.88","23.88","23.88","23.88"
"Middlesex","Plainsboro","14","12","1","0","0","2","280","5","5","0","0","2","4,786","4,605","4,643","4,816","-","1,324","1,394","1,424","1,467","-","400,743","410,983","424,453","441,879","463,744","10,089","10,089","10,089","10,089","10,089","9,402","9,402","9,402","9,402","9,402","93.19","93.19","93.19","93.19","93.19","4,610","4,610","4,610","4,610","4,610","49.03","49.03","49.03","49.03","49.03"
"Morris","Parsippany-Troy Hills","26","11","24","64","22","238","22","17","10","2","47","34","6,948","7,020","7,036","7,241","-","1,199","1,201","1,223","1,276","-","365,399","365,940","371,866","369,984","371,927","21,274","21,274","21,274","21,274","21,274","20,279","20,279","20,279","20,279","20,279","95.32","95.32","95.32","95.32","95.32","12,693","12,693","12,693","12,693","12,693","62.59","62.59","62.59","62.59","62.59"
"Morris","Randolph","25","11","71","27","30","66","36","11","1","11","65","47","2,425","2,262","2,142","2,076","-","1,239","1,282","1,341","1,374","-","500,510","496,185","498,421","499,787","513,996","9,343","9,343","9,343","9,343","9,343","9,013","9,013","9,013","9,013","9,013","96.47","96.47","96.47","96.47","96.47","6,715","6,715","6,715","6,715","6,715","74.5","74.5","74.5","74.5","74.5"
"Cape May","Dennis","1","2","7","9","9","11","5","10","5","0","12","7","294","300","299","254","-","1,375","1,222","1,241","1,234","-","192,149","182,838","184,986","187,174","193,795","2,672","2,672","2,672","2,672","2,672","2,370","2,370","2,370","2,370","2,370","88.7","88.7","88.7","88.7","88.7","2,050","2,050","2,050","2,050","2,050","86.5","86.5","86.5","86.5","86.5"
"Cape May","Middle Township","1","2","57","70","79","108","53","59","50","5","79","33","1,294","1,244","1,336","1,334","-","1,273","1,314","1,216","1,241","-","238,016","231,718","231,887","234,776","241,293","9,296","9,296","9,296","9,296","9,296","7,256","7,256","7,256","7,256","7,256","78.06","78.06","78.06","78.06","78.06","5,836","5,836","5,836","5,836","5,836","80.43","80.43","80.43","80.43","80.43"
"Cape May","Avalon","1","2","73","72","75","100","85","65","56","5","80","81","47","42","47","41","-","950","984","1,168","1,219","-","1,389,050","1,411,638","1,454,205","1,505,104","1,610,055","5,434","5,434","5,434","5,434","5,434","692","692","692","692","692","12.73","12.73","12.73","12.73","12.73","617","617","617","617","617","89.16","89.16","89.16","89.16","89.16"
"Cape May","Cape May Point","1","2","7","7","1","3","6","5","4","-","2","2","11","9","6","5","-","1,188","1,146","1,250","1,438","-","709,045","678,669","695,792","699,104","754,611","619","619","619","619","619","164","164","164","164","164","26.49","26.49","26.49","26.49","26.49","153","153","153","153","153","93.29","93.29","93.29","93.29","93.29"
"Camden","Woodlynne","5","1","0","0","0","0","0","0","0","0","0","0","396","376","342","324","-","1,170","1,146","1,141","1,121","-","59,476","65,148","70,931","70,774","70,642","1,016","1,016","1,016","1,016","1,016","917","917","917","917","917","90.26","90.26","90.26","90.26","90.26","595","595","595","595","595","64.89","64.89","64.89","64.89","64.89"
"Cape May","Wildwood","1","2","5","8","6","14","7","4","4","0","11","5","1,253","1,090","1,223","1,218","-","834","848","901","892","-","208,205","204,891","205,648","196,682","207,679","6,843","6,843","6,843","6,843","6,843","2,251","2,251","2,251","2,251","2,251","32.89","32.89","32.89","32.89","32.89","798","798","798","798","798","35.45","35.45","35.45","35.45","35.45"
"Cape May","West Wildwood","1","2","0","5","9","3","7","0","2","0","3","4","66","43","63","42","-","1,017","879","898","1,139","-","264,903","251,219","261,075","253,396","263,519","893","893","893","893","893","276","276","276","276","276","30.91","30.91","30.91","30.91","30.91","213","213","213","213","213","77.17","77.17","77.17","77.17","77.17"
"Cape May","Upper Township","1","2","17","9","15","69","66","15","12","4","40","39","302","398","513","481","-","967","1,113","1,197","1,158","-","292,146","287,830","282,932","287,004","290,495","6,341","6,341","6,341","6,341","6,341","4,566","4,566","4,566","4,566","4,566","72.01","72.01","72.01","72.01","72.01","4,091","4,091","4,091","4,091","4,091","89.6","89.6","89.6","89.6","89.6"
"Cape May","Sea Isle City","1","2","87","98","74","87","81","84","83","6","73","73","203","138","100","91","-","1,025","1,144","1,200","1,211","-","639,150","650,480","677,408","702,586","730,560","6,900","6,900","6,900","6,900","6,900","1,041","1,041","1,041","1,041","1,041","15.09","15.09","15.09","15.09","15.09","839","839","839","839","839","80.6","80.6","80.6","80.6","80.6"
"Cape May","North Wildwood","1","2","27","30","52","58","48","19","21","0","33","29","393","448","398","312","-","1,120","1,015","813","872","-","300,798","299,065","303,060","308,261","314,067","8,840","8,840","8,840","8,840","8,840","2,047","2,047","2,047","2,047","2,047","23.16","23.16","23.16","23.16","23.16","1,282","1,282","1,282","1,282","1,282","62.63","62.63","62.63","62.63","62.63"
"Ocean","South Toms River","9","3","8","0","0","0","0","6","9","0","0","0","228","206","200","226","-","1,649","1,610","1,583","1,691","-","172,374","168,409","165,871","166,740","176,606","1,160","1,160","1,160","1,160","1,160","1,098","1,098","1,098","1,098","1,098","94.66","94.66","94.66","94.66","94.66","879","879","879","879","879","80.05","80.05","80.05","80.05","80.05"
"Ocean","Seaside Park","9","3","15","11","5","13","21","5","12","1","1","11","222","216","232","175","-","1,139","1,176","1,197","1,252","-","580,243","559,725","580,707","581,550","568,086","2,703","2,703","2,703","2,703","2,703","833","833","833","833","833","30.82","30.82","30.82","30.82","30.82","519","519","519","519","519","62.3","62.3","62.3","62.3","62.3"
"Morris","Rockaway Twp","26","11","128","101","212","101","339","9","43","90","180","231","1,195","1,282","1,371","1,315","-","1,448","1,465","1,551","1,491","-","334,799","334,018","343,028","362,221","354,669","9,587","9,587","9,587","9,587","9,587","8,983","8,983","8,983","8,983","8,983","93.7","93.7","93.7","93.7","93.7","7,646","7,646","7,646","7,646","7,646","85.12","85.12","85.12","85.12","85.12"
"Morris","Rockaway","25","11","15","2","1","0","1","2","15","0","2","2","840","720","811","738","-","1,194","1,250","1,230","1,252","-","324,517","320,856","346,196","325,328","312,021","2,521","2,521","2,521","2,521","2,521","2,443","2,443","2,443","2,443","2,443","96.91","96.91","96.91","96.91","96.91","1,672","1,672","1,672","1,672","1,672","68.44","68.44","68.44","68.44","68.44"
"Passaic","Clifton","34","9","67","17","69","9","4","94","41","0","78","18","10,672","11,090","11,215","11,245","-","1,261","1,286","1,329","1,353","-","311,969","308,796","318,323","322,957","333,760","31,946","31,946","31,946","31,946","31,946","30,661","30,661","30,661","30,661","30,661","95.98","95.98","95.98","95.98","95.98","18,375","18,375","18,375","18,375","18,375","59.93","59.93","59.93","59.93","59.93"
"Ocean","Tuckerton","9","2","0","0","6","11","26","0","0","1","5","12","397","403","433","372","-","1,109","1,063","1,183","1,191","-","209,097","205,738","213,518","213,741","222,079","1,902","1,902","1,902","1,902","1,902","1,396","1,396","1,396","1,396","1,396","73.4","73.4","73.4","73.4","73.4","1,000","1,000","1,000","1,000","1,000","71.63","71.63","71.63","71.63","71.63"
"Ocean","Toms River","10","3","812","684","442","376","343","459","790","33","457","398","6,215","6,165","6,224","6,265","-","1,357","1,325","1,340","1,380","-","295,408","304,511","319,595","324,359","333,921","43,334","43,334","43,334","43,334","43,334","34,760","34,760","34,760","34,760","34,760","80.21","80.21","80.21","80.21","80.21","28,589","28,589","28,589","28,589","28,589","82.25","82.25","82.25","82.25","82.25"
"Ocean","Stafford","9","2, 3","322","143","140","238","145","271","212","18","135","125","1,139","1,583","1,471","1,494","-","1,447","1,513","1,465","1,575","-","259,695","269,793","279,269","293,135","303,161","13,604","13,604","13,604","13,604","13,604","10,096","10,096","10,096","10,096","10,096","74.21","74.21","74.21","74.21","74.21","8,966","8,966","8,966","8,966","8,966","88.81","88.81","88.81","88.81","88.81"
"Morris","Kinnelon","26","11","5","3","2","5","1","5","3","0","2","0","438","503","465","427","-","1,894","1,818","1,802","1,813","-","581,413","580,389","585,183","583,606","589,722","3,600","3,600","3,600","3,600","3,600","3,472","3,472","3,472","3,472","3,472","96.44","96.44","96.44","96.44","96.44","3,129","3,129","3,129","3,129","3,129","90.12","90.12","90.12","90.12","90.12"
"Camden","Laurel Springs","4","1","0","0","1","0","0","0","0","0","1","0","135","140","142","127","-","859","861","820","893","-","161,622","158,805","154,687","163,915","170,520","771","771","771","771","771","727","727","727","727","727","94.29","94.29","94.29","94.29","94.29","559","559","559","559","559","76.89","76.89","76.89","76.89","76.89"
"Camden","Lindenwold","4","1","0","0","1","0","0","24","0","0","0","0","4,409","4,345","4,271","4,316","-","900","879","910","948","-","102,834","99,005","94,760","96,501","97,213","8,251","8,251","8,251","8,251","8,251","7,426","7,426","7,426","7,426","7,426","90","90","90","90","90","2,975","2,975","2,975","2,975","2,975","40.06","40.06","40.06","40.06","40.06"
"Camden","Merchantville","6","1","0","0","0","0","1","0","0","0","0","0","655","561","511","572","-","1,069","1,035","1,041","1,083","-","180,232","188,712","192,272","191,861","193,423","1,688","1,688","1,688","1,688","1,688","1,574","1,574","1,574","1,574","1,574","93.25","93.25","93.25","93.25","93.25","961","961","961","961","961","61.05","61.05","61.05","61.05","61.05"
"Camden","Mount Ephraim","5","1","2","0","1","0","0","0","2","0","0","0","320","362","378","374","-","964","946","929","944","-","140,254","146,132","148,924","150,054","150,759","2,010","2,010","2,010","2,010","2,010","1,909","1,909","1,909","1,909","1,909","94.98","94.98","94.98","94.98","94.98","1,463","1,463","1,463","1,463","1,463","76.64","76.64","76.64","76.64","76.64"
"Camden","Waterford","8","2","3","4","2","0","0","4","3","0","4","0","436","476","441","386","-","1,231","1,310","1,315","1,366","-","185,388","183,218","182,435","185,947","188,212","3,839","3,839","3,839","3,839","3,839","3,692","3,692","3,692","3,692","3,692","96.17","96.17","96.17","96.17","96.17","3,272","3,272","3,272","3,272","3,272","88.62","88.62","88.62","88.62","88.62"
"Camden","Voorhees","6","1","21","19","19","5","6","20","14","6","12","2","3,582","3,476","3,370","3,383","-","1,086","1,137","1,183","1,227","-","286,438","280,346","285,034","282,098","288,518","12,260","12,260","12,260","12,260","12,260","11,470","11,470","11,470","11,470","11,470","93.56","93.56","93.56","93.56","93.56","7,718","7,718","7,718","7,718","7,718","67.29","67.29","67.29","67.29","67.29"
"Morris","Netcong","25","7","0","1","0","0","1","1","0","0","0","1","725","743","719","707","-","1,129","1,132","1,165","1,165","-","226,577","224,537","233,627","238,179","266,670","1,449","1,449","1,449","1,449","1,449","1,381","1,381","1,381","1,381","1,381","95.31","95.31","95.31","95.31","95.31","665","665","665","665","665","48.15","48.15","48.15","48.15","48.15"
"Camden","Pine Valley","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","530,772","530,612","548,384","556,742","555,016","22","22","22","22","22","4","4","4","4","4","18.18","18.18","18.18","18.18","18.18","2","2","2","2","2","50","50","50","50","50"
"Camden","Pennsauken","6","1","11","5","4","122","71","5","60","0","3","54","2,569","2,424","2,435","2,575","-","925","902","933","992","-","148,252","145,822","148,386","142,149","145,109","13,275","13,275","13,275","13,275","13,275","12,633","12,633","12,633","12,633","12,633","95.16","95.16","95.16","95.16","95.16","9,768","9,768","9,768","9,768","9,768","77.32","77.32","77.32","77.32","77.32"
"Camden","Stratford","6","1","6","4","0","1","0","6","5","0","1","0","570","576","582","525","-","832","846","866","945","-","162,955","161,938","162,360","162,765","166,663","2,761","2,761","2,761","2,761","2,761","2,641","2,641","2,641","2,641","2,641","95.65","95.65","95.65","95.65","95.65","1,897","1,897","1,897","1,897","1,897","71.83","71.83","71.83","71.83","71.83"
"Camden","Runnemede","5","1","0","0","0","0","1","0","0","0","0","0","825","833","964","1,017","-","837","861","894","895","-","149,569","146,827","147,412","150,527","151,425","3,548","3,548","3,548","3,548","3,548","3,370","3,370","3,370","3,370","3,370","94.98","94.98","94.98","94.98","94.98","2,389","2,389","2,389","2,389","2,389","70.89","70.89","70.89","70.89","70.89"
"Morris","Madison","27","11","47","20","127","21","21","21","44","4","16","475","1,644","1,587","1,518","1,476","-","1,556","1,562","1,559","1,643","-","740,531","746,028","776,344","769,592","823,295","5,775","5,775","5,775","5,775","5,775","5,485","5,485","5,485","5,485","5,485","94.98","94.98","94.98","94.98","94.98","3,600","3,600","3,600","3,600","3,600","65.63","65.63","65.63","65.63","65.63"
"Morris","Lincoln Park","26","11","0","0","0","0","0","0","0","0","0","0","870","767","850","765","-","1,521","1,620","1,560","1,597","-","314,046","316,790","321,290","326,893","332,679","4,145","4,145","4,145","4,145","4,145","4,001","4,001","4,001","4,001","4,001","96.53","96.53","96.53","96.53","96.53","3,129","3,129","3,129","3,129","3,129","78.21","78.21","78.21","78.21","78.21"
"Morris","Mine Hill","25","7","6","3","0","1","4","5","22","0","2","0","126","153","154","174","-","1,034","1,098","1,133","1,045","-","264,196","264,848","269,383","280,902","288,022","1,380","1,380","1,380","1,380","1,380","1,329","1,329","1,329","1,329","1,329","96.3","96.3","96.3","96.3","96.3","1,170","1,170","1,170","1,170","1,170","88.04","88.04","88.04","88.04","88.04"
"Morris","Mendham","25","11","0","0","1","1","0","2","0","0","1","1","250","210","182","233","-","2,100","1,955","1,780","1,942","-","742,787","724,378","728,055","727,532","725,834","1,798","1,798","1,798","1,798","1,798","1,722","1,722","1,722","1,722","1,722","95.77","95.77","95.77","95.77","95.77","1,482","1,482","1,482","1,482","1,482","86.06","86.06","86.06","86.06","86.06"
"Morris","Morris Twp","25","11","57","41","4","54","146","39","60","3","6","103","1,062","1,217","1,329","1,358","-","1,526","1,663","1,673","1,767","-","542,609","523,722","559,303","563,501","581,947","8,502","8,502","8,502","8,502","8,502","8,128","8,128","8,128","8,128","8,128","95.6","95.6","95.6","95.6","95.6","6,796","6,796","6,796","6,796","6,796","83.61","83.61","83.61","83.61","83.61"
"Morris","Montville","26","11","15","14","12","10","13","21","8","1","11","13","1,137","1,145","1,164","1,210","-","1,631","1,568","1,654","1,671","-","569,683","566,167","588,929","591,983","583,651","7,823","7,823","7,823","7,823","7,823","7,485","7,485","7,485","7,485","7,485","95.68","95.68","95.68","95.68","95.68","6,406","6,406","6,406","6,406","6,406","85.58","85.58","85.58","85.58","85.58"
"Morris","Mount Olive","24","7","79","70","121","76","100","79","81","5","69","126","4,671","4,503","4,396","4,334","-","1,121","1,129","1,150","1,180","-","306,020","321,215","320,514","328,692","337,142","11,244","11,244","11,244","11,244","11,244","10,690","10,690","10,690","10,690","10,690","95.07","95.07","95.07","95.07","95.07","5,995","5,995","5,995","5,995","5,995","56.08","56.08","56.08","56.08","56.08"
"Morris","Morristown","25","11","11","33","225","110","123","1","268","5","30","197","4,685","4,698","4,680","4,917","-","1,489","1,472","1,951","1,626","-","407,920","437,542","446,992","486,187","470,607","8,172","8,172","8,172","8,172","8,172","7,417","7,417","7,417","7,417","7,417","90.76","90.76","90.76","90.76","90.76","2,863","2,863","2,863","2,863","2,863","38.6","38.6","38.6","38.6","38.6"
"Salem","Oldmans","3","2","1","1","0","0","0","1","1","0","0","0","58","67","75","78","-","1,154","1,158","1,208","1,213","-","198,043","180,430","187,205","190,995","185,591","699","699","699","699","699","652","652","652","652","652","93.28","93.28","93.28","93.28","93.28","566","566","566","566","566","86.81","86.81","86.81","86.81","86.81"
"Salem","Pennsville","3","2","1","1","1","0","1","1","1","0","0","0","1,402","1,294","1,365","1,299","-","979","971","946","925","-","154,001","149,053","146,795","152,154","146,598","5,914","5,914","5,914","5,914","5,914","5,491","5,491","5,491","5,491","5,491","92.85","92.85","92.85","92.85","92.85","4,060","4,060","4,060","4,060","4,060","73.94","73.94","73.94","73.94","73.94"
"Salem","Elsinboro","3","2","0","0","1","1","1","0","0","0","0","0","87","72","81","77","-","1,068","1,061","1,092","1,135","-","166,181","163,826","162,092","162,844","161,176","524","524","524","524","524","455","455","455","455","455","86.83","86.83","86.83","86.83","86.83","396","396","396","396","396","87.03","87.03","87.03","87.03","87.03"
"Salem","Lower Alloways Creek","3","2","2","0","0","0","3","0","1","0","0","1","119","113","101","90","-","817","739","877","883","-","180,009","178,270","173,299","175,694","162,973","727","727","727","727","727","679","679","679","679","679","93.4","93.4","93.4","93.4","93.4","551","551","551","551","551","81.15","81.15","81.15","81.15","81.15"
"Camden","Berlin Twp","6","1","24","34","28","52","48","30","23","1","48","34","558","636","649","656","-","915","936","865","898","-","171,273","164,748","172,979","180,068","177,117","2,069","2,069","2,069","2,069","2,069","1,975","1,975","1,975","1,975","1,975","95.46","95.46","95.46","95.46","95.46","1,482","1,482","1,482","1,482","1,482","75.04","75.04","75.04","75.04","75.04"
"Camden","Camden","5","1","8","52","52","7","9","14","4","0","53","0","14,930","14,867","14,732","14,774","-","872","874","880","896","-","50,646","53,978","55,204","59,110","57,569","28,358","28,358","28,358","28,358","28,358","24,475","24,475","24,475","24,475","24,475","86.31","86.31","86.31","86.31","86.31","9,582","9,582","9,582","9,582","9,582","39.15","39.15","39.15","39.15","39.15"
"Camden","Bellmawr","5","1","0","0","0","0","0","0","0","0","0","0","1,505","1,459","1,584","1,648","-","807","805","808","830","-","155,728","157,332","162,058","158,144","164,044","4,883","4,883","4,883","4,883","4,883","4,670","4,670","4,670","4,670","4,670","95.64","95.64","95.64","95.64","95.64","3,148","3,148","3,148","3,148","3,148","67.41","67.41","67.41","67.41","67.41"
"Camden","Gloucester City","5","1","0","0","0","0","0","0","1","0","0","0","1,307","1,279","5,862","1,258","-","1,068","1,006","1,063","1,061","-","103,063","121,117","112,367","108,935","111,930","4,712","4,712","4,712","4,712","4,712","4,248","4,248","4,248","4,248","4,248","90.15","90.15","90.15","90.15","90.15","2,974","2,974","2,974","2,974","2,974","70.01","70.01","70.01","70.01","70.01"
"Camden","Collingswood","6","1","0","1","4","0","1","72","2","1","3","0","2,571","2,569","2,696","2,870","-","1,037","1,031","1,002","1,095","-","218,658","226,157","229,653","228,467","232,552","6,822","6,822","6,822","6,822","6,822","6,299","6,299","6,299","6,299","6,299","92.33","92.33","92.33","92.33","92.33","3,331","3,331","3,331","3,331","3,331","52.88","52.88","52.88","52.88","52.88"
"Camden","Clementon","4","1","0","14","15","8","0","0","0","2","18","7","645","630","643","680","-","911","889","955","994","-","116,737","124,628","122,133","122,440","120,914","2,235","2,235","2,235","2,235","2,235","2,064","2,064","2,064","2,064","2,064","92.35","92.35","92.35","92.35","92.35","1,269","1,269","1,269","1,269","1,269","61.48","61.48","61.48","61.48","61.48"
"Camden","Cherry Hill","6","1","19","38","39","173","168","18","125","1","39","151","4,949","5,279","5,371","5,398","-","1,284","1,289","1,330","1,356","-","235,371","236,675","240,995","242,102","249,022","28,452","28,452","28,452","28,452","28,452","26,882","26,882","26,882","26,882","26,882","94.48","94.48","94.48","94.48","94.48","21,511","21,511","21,511","21,511","21,511","80.02","80.02","80.02","80.02","80.02"
"Camden","Hi-Nella","6","1","0","0","0","0","0","0","0","0","0","0","248","251","270","235","-","1,017","999","975","1,042","-","145,283","132,108","145,484","144,770","144,958","420","420","420","420","420","377","377","377","377","377","89.76","89.76","89.76","89.76","89.76","117","117","117","117","117","31.03","31.03","31.03","31.03","31.03"
"Camden","Haddon Twp","6","1","63","7","8","5","5","2","45","0","8","4","1,595","1,680","1,715","1,737","-","1,037","1,086","1,128","1,148","-","233,195","235,770","239,124","242,220","247,746","6,477","6,477","6,477","6,477","6,477","6,226","6,226","6,226","6,226","6,226","96.12","96.12","96.12","96.12","96.12","4,287","4,287","4,287","4,287","4,287","68.86","68.86","68.86","68.86","68.86"
"Camden","Haddon Heights","5","1","2","16","11","7","2","21","13","1","10","2","495","514","514","528","-","1,013","975","923","895","-","277,479","282,192","281,478","284,835","284,717","3,159","3,159","3,159","3,159","3,159","2,997","2,997","2,997","2,997","2,997","94.87","94.87","94.87","94.87","94.87","2,342","2,342","2,342","2,342","2,342","78.14","78.14","78.14","78.14","78.14"
"Somerset","Bernardsville","25","7","10","6","0","2","25","8","9","1","3","2","400","451","365","381","-","1,551","1,653","1,742","1,721","-","795,403","773,857","776,666","766,048","746,605","2,871","2,871","2,871","2,871","2,871","2,685","2,685","2,685","2,685","2,685","93.52","93.52","93.52","93.52","93.52","2,247","2,247","2,247","2,247","2,247","83.69","83.69","83.69","83.69","83.69"
