"","","","","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Housing Units","Housing Units","Housing Units","Housing Units","Housing Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units"
"Somerset","Green Brook","22","7","5","4","0","0","2","4","2","0","1","2","171","143","115","172","-","1,499","1,442","1,413","1,793","-","484,912","479,276","492,595","480,658","484,098","2,448","2,448","2,448","2,448","2,448","2,375","2,375","2,375","2,375","2,375","97.02","97.02","97.02","97.02","97.02","2,178","2,178","2,178","2,178","2,178","91.71","91.71","91.71","91.71","91.71"
"Salem","Penns Grove","3","2","0","0","1","0","0","0","0","0","1","0","1,254","1,141","1,159","1,167","-","1,027","971","1,055","1,004","-","94,817","90,625","84,598","81,222","88,301","2,004","2,004","2,004","2,004","2,004","1,801","1,801","1,801","1,801","1,801","89.87","89.87","89.87","89.87","89.87","696","696","696","696","696","38.65","38.65","38.65","38.65","38.65"
"Salem","Pittsgrove","3","2","7","1","11","10","7","6","4","0","12","8","311","257","258","217","-","1,270","850","837","1,033","-","197,584","195,754","198,412","204,796","204,560","3,445","3,445","3,445","3,445","3,445","3,307","3,307","3,307","3,307","3,307","95.99","95.99","95.99","95.99","95.99","2,980","2,980","2,980","2,980","2,980","90.11","90.11","90.11","90.11","90.11"
"Bergen","Emerson","39","5","7","14","7","1","3","2","3","0","13","5","419","417","395","366","-","1,879","1,748","1,707","1,854","-","446,719","455,815","460,243","471,336","479,983","2,552","2,552","2,552","2,552","2,552","2,480","2,480","2,480","2,480","2,480","97.18","97.18","97.18","97.18","97.18","2,192","2,192","2,192","2,192","2,192","88.39","88.39","88.39","88.39","88.39"
"Ocean","Barnegat Twp","9","3","83","102","214","275","270","57","73","84","148","218","996","1,064","1,260","1,143","-","1,465","1,438","1,325","1,535","-","233,049","232,700","235,033","238,910","247,263","9,085","9,085","9,085","9,085","9,085","8,128","8,128","8,128","8,128","8,128","89.47","89.47","89.47","89.47","89.47","7,163","7,163","7,163","7,163","7,163","88.13","88.13","88.13","88.13","88.13"
"Bergen","Little Ferry","36","9","1","0","5","18","1","1","2","2","0","3","2,323","2,214","2,348","2,512","-","1,309","1,262","1,291","1,273","-","321,312","282,612","279,974","275,935","299,907","4,439","4,439","4,439","4,439","4,439","4,239","4,239","4,239","4,239","4,239","95.49","95.49","95.49","95.49","95.49","1,945","1,945","1,945","1,945","1,945","45.88","45.88","45.88","45.88","45.88"
"Bergen","River Edge","38","5","4","3","0","73","2","1","5","0","1","1","1,039","978","995","1,000","-","1,404","1,440","1,404","1,478","-","436,521","445,024","451,319","469,248","489,045","4,261","4,261","4,261","4,261","4,261","4,134","4,134","4,134","4,134","4,134","97.02","97.02","97.02","97.02","97.02","3,074","3,074","3,074","3,074","3,074","74.36","74.36","74.36","74.36","74.36"
"Morris","Wharton","25","7","1","0","1","1","49","4","2","0","2","1","906","1,131","1,004","1,118","-","1,309","1,301","1,315","1,358","-","257,813","255,991","258,710","260,974","276,617","2,426","2,426","2,426","2,426","2,426","2,304","2,304","2,304","2,304","2,304","94.97","94.97","94.97","94.97","94.97","1,382","1,382","1,382","1,382","1,382","59.98","59.98","59.98","59.98","59.98"
"Morris","Victory Gardens","25","11","0","0","0","0","0","0","0","0","0","0","354","373","367","322","-","1,217","1,182","1,242","1,258","-","171,354","175,346","175,348","174,123","181,711","566","566","566","566","566","533","533","533","533","533","94.17","94.17","94.17","94.17","94.17","205","205","205","205","205","38.46","38.46","38.46","38.46","38.46"
"Ocean","Berkeley Twp","9","3","129","96","86","116","97","83","56","3","20","22","2,000","2,256","2,221","2,177","-","1,250","1,257","1,289","1,335","-","198,345","200,127","205,668","211,692","217,650","23,818","23,818","23,818","23,818","23,818","20,349","20,349","20,349","20,349","20,349","85.44","85.44","85.44","85.44","85.44","18,086","18,086","18,086","18,086","18,086","88.88","88.88","88.88","88.88","88.88"
"Somerset","Manville","16","12","4","2","5","1","0","1","7","1","3","2","1,332","1,291","1,286","1,213","-","1,272","1,266","1,317","1,336","-","229,595","234,637","234,036","235,756","244,487","4,277","4,277","4,277","4,277","4,277","4,016","4,016","4,016","4,016","4,016","93.9","93.9","93.9","93.9","93.9","2,709","2,709","2,709","2,709","2,709","67.46","67.46","67.46","67.46","67.46"
"Bergen","Teaneck","37","5, 9","80","16","147","15","518","14","14","4","17","14","2,950","3,314","3,570","3,426","-","1,262","1,314","1,376","1,403","-","396,868","397,724","413,114","421,108","442,625","14,024","14,024","14,024","14,024","14,024","13,470","13,470","13,470","13,470","13,470","96.05","96.05","96.05","96.05","96.05","10,337","10,337","10,337","10,337","10,337","76.74","76.74","76.74","76.74","76.74"
"Ocean","Lakewood","30","4","651","782","713","750","476","444","509","54","543","659","11,374","11,952","11,930","11,884","-","1,374","1,350","1,355","1,397","-","274,466","296,820","321,881","336,268","355,107","26,337","26,337","26,337","26,337","26,337","24,283","24,283","24,283","24,283","24,283","92.2","92.2","92.2","92.2","92.2","12,570","12,570","12,570","12,570","12,570","51.76","51.76","51.76","51.76","51.76"
"Somerset","North Plainfield","22","7","0","6","1","1","1","0","1","0","0","0","2,879","3,150","3,327","3,119","-","1,188","1,197","1,248","1,288","-","228,219","231,581","232,597","237,779","234,717","7,848","7,848","7,848","7,848","7,848","7,448","7,448","7,448","7,448","7,448","94.9","94.9","94.9","94.9","94.9","4,212","4,212","4,212","4,212","4,212","56.55","56.55","56.55","56.55","56.55"
"Somerset","Raritan","23","7","12","0","18","4","0","281","0","0","17","4","952","995","1,011","1,148","-","1,332","1,431","1,410","1,645","-","320,314","333,864","333,166","340,483","352,391","2,847","2,847","2,847","2,847","2,847","2,673","2,673","2,673","2,673","2,673","93.89","93.89","93.89","93.89","93.89","1,584","1,584","1,584","1,584","1,584","59.26","59.26","59.26","59.26","59.26"
"Ocean","Barnegat Light","9","2","8","8","5","14","8","9","8","1","9","6","31","32","25","23","-","1,213","1,222","1,519","1,317","-","791,437","803,403","796,559","777,113","805,741","1,282","1,282","1,282","1,282","1,282","274","274","274","274","274","21.37","21.37","21.37","21.37","21.37","237","237","237","237","237","86.5","86.5","86.5","86.5","86.5"
"Ocean","Ocean Gate","9","3","10","13","7","4","7","11","10","0","10","6","264","240","215","212","-","1,474","1,633","1,611","1,661","-","211,847","208,923","208,017","208,815","223,576","1,203","1,203","1,203","1,203","1,203","832","832","832","832","832","69.16","69.16","69.16","69.16","69.16","559","559","559","559","559","67.19","67.19","67.19","67.19","67.19"
"Morris","Washington Twp","25","7","28","15","16","1","6","6","22","2","12","2","719","703","751","687","-","1,394","1,433","1,490","1,491","-","434,282","442,294","446,542","447,305","446,835","6,488","6,488","6,488","6,488","6,488","6,237","6,237","6,237","6,237","6,237","96.13","96.13","96.13","96.13","96.13","5,479","5,479","5,479","5,479","5,479","87.85","87.85","87.85","87.85","87.85"
"Ocean","Ship Bottom","9","2","62","33","24","21","48","40","41","2","26","21","54","39","35","52","-","1,143","1,116","979","1,075","-","573,925","591,218","604,717","659,163","675,485","2,066","2,066","2,066","2,066","2,066","555","555","555","555","555","26.86","26.86","26.86","26.86","26.86","424","424","424","424","424","76.4","76.4","76.4","76.4","76.4"
"Sussex","Andover","24","5","0","0","0","0","0","0","0","0","0","0","66","61","79","78","-","1,529","1,092","1,139","1,179","-","235,165","239,632","229,119","232,683","231,929","263","263","263","263","263","241","241","241","241","241","91.63","91.63","91.63","91.63","91.63","157","157","157","157","157","65.15","65.15","65.15","65.15","65.15"
"Bergen","Wyckoff","40","5","11","5","14","12","7","10","13","1","9","9","444","470","494","448","-","1,592","1,425","1,594","1,663","-","738,179","754,324","769,706","773,267","783,093","5,827","5,827","5,827","5,827","5,827","5,646","5,646","5,646","5,646","5,646","96.89","96.89","96.89","96.89","96.89","5,153","5,153","5,153","5,153","5,153","91.27","91.27","91.27","91.27","91.27"
"Monmouth","Eatontown","11","4","47","39","34","8","7","41","34","0","3","7","2,448","2,491","2,522","2,484","-","1,155","1,145","1,147","1,167","-","295,096","303,905","306,594","348,484","348,158","5,723","5,723","5,723","5,723","5,723","5,319","5,319","5,319","5,319","5,319","92.94","92.94","92.94","92.94","92.94","2,920","2,920","2,920","2,920","2,920","54.9","54.9","54.9","54.9","54.9"
"Essex","Nutley","28","11","5","5","16","5","33","7","4","10","4","3","3,532","3,509","0","3,627","-","1,276","1,304","1,292","1,314","-","343,483","348,230","355,446","362,144","372,628","11,789","11,789","11,789","11,789","11,789","11,314","11,314","11,314","11,314","11,314","95.97","95.97","95.97","95.97","95.97","7,669","7,669","7,669","7,669","7,669","67.78","67.78","67.78","67.78","67.78"
