"","","","","Census Population","Census Population","Census Population","Census Population","Census Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","% Change","% Change","% Change","% Change","% Change","Population 25+","Population 25+","Population 25+","Population 25+","Population 25+","College Grads","College Grads","College Grads","College Grads","College Grads","% College Grads","% College Grads","% College Grads","% College Grads","% College Grads","Foreign Born","Foreign Born","Foreign Born","Foreign Born","Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","African American","African American","African American","African American","African American","% African American","% African American","% African American","% African American","% African American","Asian","Asian","Asian","Asian","Asian","% Asian","% Asian","% Asian","% Asian","% Asian","Hispanic","Hispanic","Hispanic","Hispanic","Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","Age 65+","Age 65+","Age 65+","Age 65+","Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+"
"Union","Cranford","21","7","22,625","22,625","22,625","22,625","22,625","23,907","24,143","24,097","24,439","24,169","5.67","6.71","6.51","8.02","6.82","16,402","16,733","16,867","17,041","-","8,437","8,525","5,436","8,990","-","51.44","50.95","32.23","52.76","-","1,951","2,136","2,397","2,543","-","8.43","9.16","10.19","10.61","-","592","592","592","592","592","2.62","2.62","2.62","2.62","2.62","643","643","643","643","643","2.84","2.84","2.84","2.84","2.84","1,474","1,474","1,474","1,474","1,474","6.51","6.51","6.51","6.51","6.51","1,285","1,285","1,285","1,285","1,285","5.68","5.68","5.68","5.68","5.68","3,887","3,887","3,887","3,887","3,887","17.18","17.18","17.18","17.18","17.18"
"Union","Elizabeth","20","8","124,969","124,969","124,969","124,969","124,969","128,705","129,007","128,640","130,215","128,885","2.99","3.23","2.94","4.2","3.13","78,977","80,502","80,641","82,388","-","9,307","9,372","6,506","10,236","-","11.78","11.64","8.07","12.42","-","59,829","60,559","60,218","60,677","-","47.12","47.4","47.03","46.9","-","26,343","26,343","26,343","26,343","26,343","21.08","21.08","21.08","21.08","21.08","2,604","2,604","2,604","2,604","2,604","2.08","2.08","2.08","2.08","2.08","74,353","74,353","74,353","74,353","74,353","59.5","59.5","59.5","59.5","59.5","9,949","9,949","9,949","9,949","9,949","7.96","7.96","7.96","7.96","7.96","11,482","11,482","11,482","11,482","11,482","9.19","9.19","9.19","9.19","9.19"
"Union","Garwood","21","7","4,226","4,226","4,226","4,226","4,226","4,483","4,351","4,347","4,408","4,365","6.08","2.96","2.86","4.31","3.29","3,088","3,034","3,085","3,091","-","1,130","1,206","787","1,230","-","36.59","39.75","25.51","39.79","-","591","692","694","608","-","13.67","16.07","16.08","13.93","-","45","45","45","45","45","1.06","1.06","1.06","1.06","1.06","86","86","86","86","86","2.04","2.04","2.04","2.04","2.04","373","373","373","373","373","8.83","8.83","8.83","8.83","8.83","219","219","219","219","219","5.18","5.18","5.18","5.18","5.18","642","642","642","642","642","15.19","15.19","15.19","15.19","15.19"
"Burlington","Bordentown Twp","7","3","11,367","11,367","11,367","11,367","11,367","11,604","11,935","12,095","12,202","11,946","2.08","5","6.4","7.35","5.09","7,703","7,787","8,033","8,278","-","2,887","2,880","2,330","3,340","-","37.48","36.98","29.01","40.35","-","1,575","1,531","1,493","1,777","-","13.76","13.24","12.74","15.05","-","1,216","1,216","1,216","1,216","1,216","10.7","10.7","10.7","10.7","10.7","1,201","1,201","1,201","1,201","1,201","10.57","10.57","10.57","10.57","10.57","684","684","684","684","684","6.02","6.02","6.02","6.02","6.02","838","838","838","838","838","7.37","7.37","7.37","7.37","7.37","1,207","1,207","1,207","1,207","1,207","10.62","10.62","10.62","10.62","10.62"
"Cumberland","Maurice River","1","2","7,976","7,976","7,976","7,976","7,976","7,923","7,737","6,562","6,325","6,030","-0.66","-3","-17.73","-20.7","-24.4","6,738","6,933","7,151","6,339","-","466","421","275","322","-","6.92","6.07","3.85","5.08","-","421","458","385","381","-","5.27","5.79","4.77","5.48","-","2,874","2,874","2,874","2,874","2,874","36.03","36.03","36.03","36.03","36.03","28","28","28","28","28","0.35","0.35","0.35","0.35","0.35","919","919","919","919","919","11.52","11.52","11.52","11.52","11.52","190","190","190","190","190","2.38","2.38","2.38","2.38","2.38","560","560","560","560","560","7.02","7.02","7.02","7.02","7.02"
"Cumberland","Shiloh","1","2","516","516","516","516","516","509","505","500","497","492","-1.36","-2.13","-3.1","-3.68","-4.65","420","364","258","338","-","84","67","27","39","-","20","18.41","10.47","11.54","-","47","8","8","10","-","8.12","1.63","2.29","2.22","-","9","9","9","9","9","1.74","1.74","1.74","1.74","1.74","1","1","1","1","1","0.19","0.19","0.19","0.19","0.19","21","21","21","21","21","4.07","4.07","4.07","4.07","4.07","28","28","28","28","28","5.43","5.43","5.43","5.43","5.43","80","80","80","80","80","15.5","15.5","15.5","15.5","15.5"
"Cumberland","Stow Creek","1","2","1,431","1,431","1,431","1,431","1,431","1,430","1,423","1,417","1,405","1,385","-0.07","-0.56","-0.98","-1.82","-3.21","1,036","1,049","785","1,073","-","201","229","105","233","-","19.4","21.83","13.38","21.71","-","27","24","33","48","-","1.97","1.76","3.33","3.62","-","64","64","64","64","64","4.47","4.47","4.47","4.47","4.47","4","4","4","4","4","0.28","0.28","0.28","0.28","0.28","63","63","63","63","63","4.4","4.4","4.4","4.4","4.4","74","74","74","74","74","5.17","5.17","5.17","5.17","5.17","252","252","252","252","252","17.61","17.61","17.61","17.61","17.61"
"Cumberland","Vineland","1","2","60,724","60,724","60,724","60,724","60,724","61,171","60,818","60,525","60,392","59,966","0.74","0.15","-0.33","-0.55","-1.25","40,244","40,450","40,368","40,769","-","6,553","7,019","5,024","7,117","-","16.28","17.35","12.45","17.46","-","7,714","7,405","7,590","7,616","-","12.65","12.14","12.47","12.52","-","8,600","8,600","8,600","8,600","8,600","14.16","14.16","14.16","14.16","14.16","1,036","1,036","1,036","1,036","1,036","1.71","1.71","1.71","1.71","1.71","23,093","23,093","23,093","23,093","23,093","38.03","38.03","38.03","38.03","38.03","4,232","4,232","4,232","4,232","4,232","6.97","6.97","6.97","6.97","6.97","8,461","8,461","8,461","8,461","8,461","13.93","13.93","13.93","13.93","13.93"
"Middlesex","New Brunswick","17","6","55,181","55,181","55,181","55,181","55,181","57,080","57,035","56,910","57,073","56,100","3.44","3.36","3.13","3.43","1.67","25,480","26,563","26,539","26,496","-","5,218","5,412","2,862","5,492","-","20.48","20.37","10.78","20.73","-","21,525","21,560","20,673","19,942","-","38.57","38.27","36.64","35.11","-","8,852","8,852","8,852","8,852","8,852","16.04","16.04","16.04","16.04","16.04","4,195","4,195","4,195","4,195","4,195","7.6","7.6","7.6","7.6","7.6","27,553","27,553","27,553","27,553","27,553","49.93","49.93","49.93","49.93","49.93","3,954","3,954","3,954","3,954","3,954","7.17","7.17","7.17","7.17","7.17","2,853","2,853","2,853","2,853","2,853","5.17","5.17","5.17","5.17","5.17"
"Middlesex","Plainsboro","14","12","22,999","22,999","22,999","22,999","22,999","23,429","23,621","23,407","23,504","23,071","1.87","2.7","1.77","2.2","0.31","16,275","16,161","16,347","16,603","-","11,681","11,755","5,670","12,625","-","71.77","72.74","34.69","76.04","-","10,777","10,870","11,222","11,614","-","46.4","46.41","47.96","49.45","-","1,847","1,847","1,847","1,847","1,847","8.03","8.03","8.03","8.03","8.03","10,630","10,630","10,630","10,630","10,630","46.22","46.22","46.22","46.22","46.22","1,429","1,429","1,429","1,429","1,429","6.21","6.21","6.21","6.21","6.21","1,421","1,421","1,421","1,421","1,421","6.18","6.18","6.18","6.18","6.18","1,721","1,721","1,721","1,721","1,721","7.48","7.48","7.48","7.48","7.48"
"Morris","Parsippany-Troy Hills","26","11","53,238","53,238","53,238","53,238","53,238","53,679","53,641","53,258","53,201","52,265","0.83","0.76","0.04","-0.07","-1.83","39,030","39,044","38,931","38,829","-","20,613","20,756","12,473","21,268","-","52.81","53.16","32.04","54.77","-","18,422","18,763","19,645","19,833","-","34.38","34.97","36.71","37.11","-","1,874","1,874","1,874","1,874","1,874","3.52","3.52","3.52","3.52","3.52","15,487","15,487","15,487","15,487","15,487","29.09","29.09","29.09","29.09","29.09","4,430","4,430","4,430","4,430","4,430","8.32","8.32","8.32","8.32","8.32","3,028","3,028","3,028","3,028","3,028","5.69","5.69","5.69","5.69","5.69","7,297","7,297","7,297","7,297","7,297","13.71","13.71","13.71","13.71","13.71"
"Morris","Randolph","25","11","25,734","25,734","25,734","25,734","25,734","25,964","25,957","25,827","25,893","25,619","0.89","0.87","0.36","0.62","-0.45","17,234","17,391","17,500","17,493","-","11,322","11,259","6,070","11,004","-","65.7","64.74","34.69","62.91","-","5,181","5,043","4,855","5,138","-","20.02","19.46","18.73","19.82","-","690","690","690","690","690","2.68","2.68","2.68","2.68","2.68","2,691","2,691","2,691","2,691","2,691","10.46","10.46","10.46","10.46","10.46","2,616","2,616","2,616","2,616","2,616","10.17","10.17","10.17","10.17","10.17","1,464","1,464","1,464","1,464","1,464","5.69","5.69","5.69","5.69","5.69","2,377","2,377","2,377","2,377","2,377","9.24","9.24","9.24","9.24","9.24"
"Cape May","Dennis","1","2","6,467","6,467","6,467","6,467","6,467","6,319","6,315","6,285","6,253","6,182","-2.29","-2.35","-2.81","-3.31","-4.41","4,542","4,646","4,487","4,476","-","909","994","753","1,084","-","20.01","21.39","16.78","24.22","-","67","185","196","183","-","1.05","2.9","3.09","2.91","-","51","51","51","51","51","0.79","0.79","0.79","0.79","0.79","36","36","36","36","36","0.56","0.56","0.56","0.56","0.56","117","117","117","117","117","1.81","1.81","1.81","1.81","1.81","257","257","257","257","257","3.97","3.97","3.97","3.97","3.97","968","968","968","968","968","14.97","14.97","14.97","14.97","14.97"
"Cape May","Middle Township","1","2","18,911","18,911","18,911","18,911","18,911","18,883","18,615","18,597","18,427","18,302","-0.15","-1.57","-1.66","-2.56","-3.22","13,567","13,042","13,386","13,437","-","3,409","3,570","2,625","3,671","-","25.13","27.37","19.61","27.32","-","1,523","1,300","734","712","-","8.07","6.91","3.91","3.82","-","1,969","1,969","1,969","1,969","1,969","10.41","10.41","10.41","10.41","10.41","339","339","339","339","339","1.79","1.79","1.79","1.79","1.79","962","962","962","962","962","5.09","5.09","5.09","5.09","5.09","952","952","952","952","952","5.03","5.03","5.03","5.03","5.03","3,595","3,595","3,595","3,595","3,595","19.01","19.01","19.01","19.01","19.01"
"Cape May","Avalon","1","2","1,334","1,334","1,334","1,334","1,334","1,297","1,283","1,279","1,267","1,247","-2.77","-3.82","-4.12","-5.02","-6.52","1,653","1,454","1,299","1,285","-","984","853","413","751","-","59.53","58.67","31.79","58.44","-","67","39","46","34","-","3.62","2.44","3.24","2.39","-","4","4","4","4","4","0.3","0.3","0.3","0.3","0.3","3","3","3","3","3","0.22","0.22","0.22","0.22","0.22","29","29","29","29","29","2.17","2.17","2.17","2.17","2.17","32","32","32","32","32","2.4","2.4","2.4","2.4","2.4","540","540","540","540","540","40.48","40.48","40.48","40.48","40.48"
"Cape May","Cape May Point","1","2","291","291","291","291","291","284","281","281","279","276","-2.41","-3.44","-3.44","-4.12","-5.15","198","236","207","182","-","121","149","59","114","-","61.11","63.14","28.5","62.64","-","4","4","3","4","-","2","1.67","1.4","1.96","-","8","8","8","8","8","2.75","2.75","2.75","2.75","2.75","1","1","1","1","1","0.34","0.34","0.34","0.34","0.34","1","1","1","1","1","0.34","0.34","0.34","0.34","0.34","1","1","1","1","1","0.34","0.34","0.34","0.34","0.34","162","162","162","162","162","55.67","55.67","55.67","55.67","55.67"
"Camden","Woodlynne","5","1","2,978","2,978","2,978","2,978","2,978","2,938","2,944","2,944","2,947","2,921","-1.34","-1.14","-1.14","-1.04","-1.91","1,750","1,776","1,666","1,653","-","147","142","117","126","-","8.4","8","7.02","7.62","-","793","895","837","737","-","26.68","30.13","28.32","24.98","-","999","999","999","999","999","33.55","33.55","33.55","33.55","33.55","289","289","289","289","289","9.7","9.7","9.7","9.7","9.7","1,140","1,140","1,140","1,140","1,140","38.28","38.28","38.28","38.28","38.28","225","225","225","225","225","7.56","7.56","7.56","7.56","7.56","183","183","183","183","183","6.15","6.15","6.15","6.15","6.15"
"Cape May","Wildwood","1","2","5,325","5,325","5,325","5,325","5,325","5,185","5,149","5,120","5,070","4,998","-2.63","-3.31","-3.85","-4.79","-6.14","3,474","3,771","3,743","3,711","-","518","617","418","603","-","14.91","16.36","11.17","16.25","-","832","649","545","487","-","15.83","12.4","10.5","9.48","-","594","594","594","594","594","11.15","11.15","11.15","11.15","11.15","42","42","42","42","42","0.79","0.79","0.79","0.79","0.79","1,662","1,662","1,662","1,662","1,662","31.21","31.21","31.21","31.21","31.21","409","409","409","409","409","7.68","7.68","7.68","7.68","7.68","720","720","720","720","720","13.52","13.52","13.52","13.52","13.52"
"Cape May","West Wildwood","1","2","603","603","603","603","603","579","572","568","566","558","-3.98","-5.14","-5.8","-6.14","-7.46","435","381","416","373","-","50","60","33","60","-","11.49","15.75","7.93","16.09","-","3","4","5","11","-","0.57","0.89","1","2.53","-","9","9","9","9","9","1.49","1.49","1.49","1.49","1.49","0","0","0","0","0","0","0","0","0","0","16","16","16","16","16","2.65","2.65","2.65","2.65","2.65","28","28","28","28","28","4.64","4.64","4.64","4.64","4.64","167","167","167","167","167","27.69","27.69","27.69","27.69","27.69"
"Cape May","Upper Township","1","2","12,373","12,373","12,373","12,373","12,373","12,113","12,014","11,976","11,893","11,857","-2.1","-2.9","-3.21","-3.88","-4.17","8,390","8,431","8,306","8,241","-","2,940","3,120","2,271","3,429","-","35.04","37.01","27.34","41.61","-","272","279","234","248","-","2.22","2.29","1.93","2.07","-","72","72","72","72","72","0.58","0.58","0.58","0.58","0.58","92","92","92","92","92","0.74","0.74","0.74","0.74","0.74","292","292","292","292","292","2.36","2.36","2.36","2.36","2.36","636","636","636","636","636","5.14","5.14","5.14","5.14","5.14","1,766","1,766","1,766","1,766","1,766","14.27","14.27","14.27","14.27","14.27"
"Cape May","Sea Isle City","1","2","2,114","2,114","2,114","2,114","2,114","2,083","2,087","2,085","2,068","2,044","-1.47","-1.28","-1.37","-2.18","-3.31","1,640","1,619","1,723","1,706","-","613","650","396","694","-","37.38","40.15","22.98","40.68","-","62","62","55","75","-","3.4","3.47","2.89","3.81","-","2","2","2","2","2","0.09","0.09","0.09","0.09","0.09","4","4","4","4","4","0.19","0.19","0.19","0.19","0.19","51","51","51","51","51","2.41","2.41","2.41","2.41","2.41","53","53","53","53","53","2.51","2.51","2.51","2.51","2.51","683","683","683","683","683","32.31","32.31","32.31","32.31","32.31"
"Cape May","North Wildwood","1","2","4,041","4,041","4,041","4,041","4,041","3,934","3,901","3,882","3,843","3,792","-2.65","-3.46","-3.93","-4.9","-6.16","3,197","3,185","3,231","3,192","-","868","870","616","740","-","27.15","27.32","19.07","23.18","-","222","140","153","155","-","5.56","3.54","3.88","3.98","-","46","46","46","46","46","1.14","1.14","1.14","1.14","1.14","14","14","14","14","14","0.35","0.35","0.35","0.35","0.35","163","163","163","163","163","4.03","4.03","4.03","4.03","4.03","159","159","159","159","159","3.93","3.93","3.93","3.93","3.93","1,235","1,235","1,235","1,235","1,235","30.56","30.56","30.56","30.56","30.56"
"Ocean","South Toms River","9","3","3,684","3,684","3,684","3,684","3,684","3,762","3,736","3,761","3,772","3,777","2.12","1.41","2.09","2.39","2.52","2,158","2,192","2,189","2,181","-","215","207","123","192","-","9.96","9.44","5.62","8.8","-","195","219","260","325","-","5.24","5.91","6.97","8.69","-","712","712","712","712","712","19.33","19.33","19.33","19.33","19.33","23","23","23","23","23","0.62","0.62","0.62","0.62","0.62","718","718","718","718","718","19.49","19.49","19.49","19.49","19.49","243","243","243","243","243","6.6","6.6","6.6","6.6","6.6","325","325","325","325","325","8.82","8.82","8.82","8.82","8.82"
"Ocean","Seaside Park","9","3","1,579","1,579","1,579","1,579","1,579","1,579","1,551","1,551","1,549","1,545","0","-1.77","-1.77","-1.9","-2.15","1,241","1,349","1,422","1,307","-","537","597","402","584","-","43.27","44.26","28.27","44.68","-","25","27","23","23","-","1.78","1.75","1.41","1.47","-","15","15","15","15","15","0.95","0.95","0.95","0.95","0.95","6","6","6","6","6","0.38","0.38","0.38","0.38","0.38","54","54","54","54","54","3.42","3.42","3.42","3.42","3.42","45","45","45","45","45","2.85","2.85","2.85","2.85","2.85","422","422","422","422","422","26.73","26.73","26.73","26.73","26.73"
"Morris","Rockaway Twp","26","11","24,156","24,156","24,156","24,156","24,156","24,441","24,679","24,554","25,494","25,677","1.18","2.17","1.65","5.54","6.3","16,815","16,828","17,237","17,552","-","7,957","7,806","5,596","8,720","-","47.32","46.39","32.47","49.68","-","4,078","4,020","3,687","3,623","-","16.75","16.38","15.02","14.63","-","616","616","616","616","616","2.55","2.55","2.55","2.55","2.55","1,611","1,611","1,611","1,611","1,611","6.67","6.67","6.67","6.67","6.67","2,705","2,705","2,705","2,705","2,705","11.2","11.2","11.2","11.2","11.2","1,335","1,335","1,335","1,335","1,335","5.53","5.53","5.53","5.53","5.53","3,416","3,416","3,416","3,416","3,416","14.14","14.14","14.14","14.14","14.14"
"Morris","Rockaway","25","11","6,438","6,438","6,438","6,438","6,438","6,483","6,494","6,478","6,474","6,363","0.7","0.87","0.62","0.56","-1.16","4,486","4,699","4,653","4,638","-","1,400","1,531","1,336","1,636","-","31.21","32.58","28.71","35.27","-","1,307","1,469","1,845","1,360","-","20.17","22.63","28.51","21.01","-","207","207","207","207","207","3.22","3.22","3.22","3.22","3.22","493","493","493","493","493","7.66","7.66","7.66","7.66","7.66","970","970","970","970","970","15.07","15.07","15.07","15.07","15.07","349","349","349","349","349","5.42","5.42","5.42","5.42","5.42","789","789","789","789","789","12.26","12.26","12.26","12.26","12.26"
"Passaic","Clifton","34","9","84,136","84,136","84,136","84,136","84,136","85,927","86,334","85,845","86,607","85,273","2.13","2.61","2.03","2.94","1.35","57,787","58,665","59,123","59,647","-","17,547","17,546","12,271","19,287","-","30.36","29.91","20.76","32.34","-","30,418","29,845","29,818","30,497","-","35.73","34.89","34.84","35.38","-","4,137","4,137","4,137","4,137","4,137","4.92","4.92","4.92","4.92","4.92","7,488","7,488","7,488","7,488","7,488","8.9","8.9","8.9","8.9","8.9","26,854","26,854","26,854","26,854","26,854","31.92","31.92","31.92","31.92","31.92","5,154","5,154","5,154","5,154","5,154","6.13","6.13","6.13","6.13","6.13","11,712","11,712","11,712","11,712","11,712","13.92","13.92","13.92","13.92","13.92"
"Ocean","Tuckerton","9","2","3,347","3,347","3,347","3,347","3,347","3,396","3,377","3,378","3,372","3,375","1.46","0.9","0.93","0.75","0.84","2,408","2,411","2,472","2,409","-","589","564","475","579","-","24.46","23.39","19.22","24.03","-","224","151","168","78","-","6.65","4.49","4.99","2.31","-","25","25","25","25","25","0.75","0.75","0.75","0.75","0.75","35","35","35","35","35","1.05","1.05","1.05","1.05","1.05","203","203","203","203","203","6.07","6.07","6.07","6.07","6.07","215","215","215","215","215","6.42","6.42","6.42","6.42","6.42","589","589","589","589","589","17.6","17.6","17.6","17.6","17.6"
"Ocean","Toms River","10","3","91,239","91,239","91,239","91,239","91,239","91,250","90,817","91,837","93,017","93,717","0.01","-0.46","0.66","1.95","2.72","65,491","64,956","65,141","65,803","-","19,850","20,151","13,353","21,010","-","30.31","31.02","20.5","31.93","-","8,735","8,246","7,961","7,979","-","9.53","9.06","8.74","8.73","-","2,465","2,465","2,465","2,465","2,465","2.7","2.7","2.7","2.7","2.7","3,266","3,266","3,266","3,266","3,266","3.58","3.58","3.58","3.58","3.58","7,231","7,231","7,231","7,231","7,231","7.93","7.93","7.93","7.93","7.93","4,611","4,611","4,611","4,611","4,611","5.05","5.05","5.05","5.05","5.05","15,782","15,782","15,782","15,782","15,782","17.3","17.3","17.3","17.3","17.3"
"Ocean","Stafford","9","2, 3","26,535","26,535","26,535","26,535","26,535","26,809","26,959","27,153","27,346","27,542","1.03","1.6","2.33","3.06","3.79","18,909","19,065","19,033","19,311","-","5,365","5,478","3,721","6,423","-","28.37","28.73","19.55","33.26","-","1,683","1,599","1,657","1,604","-","6.28","5.97","6.17","5.94","-","278","278","278","278","278","1.05","1.05","1.05","1.05","1.05","394","394","394","394","394","1.48","1.48","1.48","1.48","1.48","1,410","1,410","1,410","1,410","1,410","5.31","5.31","5.31","5.31","5.31","1,270","1,270","1,270","1,270","1,270","4.79","4.79","4.79","4.79","4.79","5,211","5,211","5,211","5,211","5,211","19.64","19.64","19.64","19.64","19.64"
"Morris","Kinnelon","26","11","10,248","10,248","10,248","10,248","10,248","10,381","10,392","10,219","10,213","10,043","1.3","1.41","-0.28","-0.34","-2","6,971","7,135","6,945","6,863","-","4,342","4,368","2,425","4,208","-","62.29","61.22","34.92","61.31","-","1,085","1,185","1,072","1,000","-","10.48","11.42","10.47","9.76","-","93","93","93","93","93","0.91","0.91","0.91","0.91","0.91","437","437","437","437","437","4.26","4.26","4.26","4.26","4.26","418","418","418","418","418","4.08","4.08","4.08","4.08","4.08","437","437","437","437","437","4.26","4.26","4.26","4.26","4.26","1,248","1,248","1,248","1,248","1,248","12.18","12.18","12.18","12.18","12.18"
"Camden","Laurel Springs","4","1","1,908","1,908","1,908","1,908","1,908","1,880","1,884","1,884","1,886","1,873","-1.47","-1.26","-1.26","-1.15","-1.83","1,305","1,313","1,312","1,322","-","386","429","296","463","-","29.58","32.67","22.56","35.02","-","126","118","88","89","-","6.6","6.14","4.51","4.64","-","66","66","66","66","66","3.46","3.46","3.46","3.46","3.46","19","19","19","19","19","1","1","1","1","1","74","74","74","74","74","3.88","3.88","3.88","3.88","3.88","111","111","111","111","111","5.82","5.82","5.82","5.82","5.82","230","230","230","230","230","12.05","12.05","12.05","12.05","12.05"
"Camden","Lindenwold","4","1","17,613","17,613","17,613","17,613","17,613","17,417","17,458","17,470","17,471","17,314","-1.11","-0.88","-0.81","-0.81","-1.7","11,679","11,740","11,606","11,457","-","1,896","1,781","1,072","1,712","-","16.23","15.17","9.24","14.94","-","3,503","3,288","3,288","3,087","-","20","18.8","18.81","17.66","-","6,104","6,104","6,104","6,104","6,104","34.66","34.66","34.66","34.66","34.66","493","493","493","493","493","2.8","2.8","2.8","2.8","2.8","3,673","3,673","3,673","3,673","3,673","20.85","20.85","20.85","20.85","20.85","1,467","1,467","1,467","1,467","1,467","8.33","8.33","8.33","8.33","8.33","1,655","1,655","1,655","1,655","1,655","9.4","9.4","9.4","9.4","9.4"
"Camden","Merchantville","6","1","3,821","3,821","3,821","3,821","3,821","3,777","3,778","3,766","3,770","3,713","-1.15","-1.13","-1.44","-1.33","-2.83","2,626","2,643","2,605","2,574","-","790","786","600","819","-","30.08","29.74","23.03","31.82","-","396","323","340","452","-","10.41","8.52","9.02","11.99","-","497","497","497","497","497","13.01","13.01","13.01","13.01","13.01","87","87","87","87","87","2.28","2.28","2.28","2.28","2.28","444","444","444","444","444","11.62","11.62","11.62","11.62","11.62","270","270","270","270","270","7.07","7.07","7.07","7.07","7.07","492","492","492","492","492","12.88","12.88","12.88","12.88","12.88"
"Camden","Mount Ephraim","5","1","4,676","4,676","4,676","4,676","4,676","4,632","4,639","4,631","4,635","4,597","-0.94","-0.79","-0.96","-0.88","-1.69","3,158","3,150","3,228","3,217","-","557","670","467","682","-","17.64","21.27","14.47","21.2","-","299","314","261","243","-","6.4","6.76","5.63","5.24","-","100","100","100","100","100","2.14","2.14","2.14","2.14","2.14","32","32","32","32","32","0.68","0.68","0.68","0.68","0.68","249","249","249","249","249","5.33","5.33","5.33","5.33","5.33","263","263","263","263","263","5.62","5.62","5.62","5.62","5.62","653","653","653","653","653","13.96","13.96","13.96","13.96","13.96"
"Camden","Waterford","8","2","10,649","10,649","10,649","10,649","10,649","10,732","10,753","10,754","10,774","10,707","0.78","0.98","0.99","1.17","0.54","7,353","7,353","7,528","7,697","-","1,539","1,753","1,292","1,877","-","20.93","23.84","17.16","24.39","-","308","400","603","704","-","2.88","3.73","5.62","6.55","-","514","514","514","514","514","4.83","4.83","4.83","4.83","4.83","124","124","124","124","124","1.16","1.16","1.16","1.16","1.16","467","467","467","467","467","4.39","4.39","4.39","4.39","4.39","612","612","612","612","612","5.75","5.75","5.75","5.75","5.75","1,051","1,051","1,051","1,051","1,051","9.87","9.87","9.87","9.87","9.87"
"Camden","Voorhees","6","1","29,131","29,131","29,131","29,131","29,131","29,023","29,370","29,396","29,462","29,239","-0.37","0.82","0.91","1.14","0.37","21,090","21,098","21,205","21,417","-","9,972","10,255","6,134","10,925","-","47.28","48.61","28.93","51.01","-","5,840","6,198","6,471","6,843","-","19.98","21.1","22.06","23.29","-","2,534","2,534","2,534","2,534","2,534","8.7","8.7","8.7","8.7","8.7","4,700","4,700","4,700","4,700","4,700","16.13","16.13","16.13","16.13","16.13","998","998","998","998","998","3.43","3.43","3.43","3.43","3.43","1,335","1,335","1,335","1,335","1,335","4.58","4.58","4.58","4.58","4.58","4,815","4,815","4,815","4,815","4,815","16.53","16.53","16.53","16.53","16.53"
"Morris","Netcong","25","7","3,232","3,232","3,232","3,232","3,232","3,254","3,253","3,234","3,229","3,173","0.68","0.65","0.06","-0.09","-1.83","2,280","2,287","2,356","2,370","-","427","451","364","597","-","18.73","19.72","15.45","25.19","-","547","646","523","473","-","16.84","19.83","16.1","14.58","-","126","126","126","126","126","3.9","3.9","3.9","3.9","3.9","90","90","90","90","90","2.78","2.78","2.78","2.78","2.78","572","572","572","572","572","17.7","17.7","17.7","17.7","17.7","166","166","166","166","166","5.14","5.14","5.14","5.14","5.14","440","440","440","440","440","13.61","13.61","13.61","13.61","13.61"
"Camden","Pine Valley","8","1","12","12","12","12","12","12","12","11","11","12","0","0","-8.33","-8.33","0","2","3","4","4","-","2","3","2","4","-","100","100","50","100","-","0","0","0","0","-","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","16.67","16.67","16.67","16.67","16.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Camden","Pennsauken","6","1","35,885","35,885","35,885","35,885","35,885","35,561","35,628","35,908","35,934","35,703","-0.9","-0.72","0.06","0.14","-0.51","24,391","24,588","25,216","24,608","-","4,940","4,886","3,628","4,933","-","20.25","19.87","14.39","20.05","-","5,458","6,073","5,785","5,334","-","15.26","17.01","16.15","14.87","-","9,644","9,644","9,644","9,644","9,644","26.87","26.87","26.87","26.87","26.87","2,770","2,770","2,770","2,770","2,770","7.72","7.72","7.72","7.72","7.72","9,657","9,657","9,657","9,657","9,657","26.91","26.91","26.91","26.91","26.91","2,207","2,207","2,207","2,207","2,207","6.15","6.15","6.15","6.15","6.15","4,619","4,619","4,619","4,619","4,619","12.87","12.87","12.87","12.87","12.87"
"Camden","Stratford","6","1","7,040","7,040","7,040","7,040","7,040","6,944","7,013","7,001","7,015","6,967","-1.36","-0.38","-0.55","-0.36","-1.04","4,885","4,922","4,903","4,829","-","1,317","1,250","958","1,435","-","26.96","25.4","19.54","29.72","-","663","459","468","546","-","9.48","6.55","6.67","7.78","-","580","580","580","580","580","8.24","8.24","8.24","8.24","8.24","297","297","297","297","297","4.22","4.22","4.22","4.22","4.22","457","457","457","457","457","6.49","6.49","6.49","6.49","6.49","402","402","402","402","402","5.71","5.71","5.71","5.71","5.71","1,007","1,007","1,007","1,007","1,007","14.3","14.3","14.3","14.3","14.3"
