"","","","","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes"
"Hunterdon","Bloomsbury","23","7","-","-","-","-","-","-","-","-","-","-"
"Ocean","Little Egg Harbor","9","2","18","22","33","12","4","339","263","279","286","241"
"Middlesex","Milltown","17","12","1","2","5","7","2","58","49","87","119","113"
"Hunterdon","Alexandria","23","7","-","-","-","-","-","-","-","-","-","-"
"Ocean","Long Beach","9","2","6","6","2","3","3","112","91","70","98","59"
"Middlesex","Metuchen","18","6","9","7","4","12","5","145","171","177","175","128"
"Ocean","Manchester","10","4","10","18","25","11","15","370","319","216","224","238"
"Ocean","Mantoloking","10","3","0","0","0","0","0","16","11","7","9","11"
"Middlesex","Edison","18","6","98","104","104","112","120","1,105","1,215","1,088","1,210","1,147"
"Ocean","Ocean Twp","9","3","2","2","0","2","1","79","68","63","57","54"
"Ocean","Pine Beach","9","3","2","1","0","0","2","10","16","8","19","21"
"Middlesex","Sayreville","19","6","36","38","30","29","44","465","456","373","392","301"
"Hudson","East Newark","32","8","5","0","0","1","1","28","31","34","40","44"
"Gloucester","Woolwich","3","2","2","5","3","4","0","53","42","49","66","50"
"Hudson","Hoboken","33","8","149","144","121","131","119","1,033","908","943","1,064","862"
"Middlesex","North Brunswick","17","12","56","72","64","49","53","867","655","602","688","683"
"Hudson","Guttenberg","32","8","27","27","14","22","28","101","116","87","111","99"
"Middlesex","Monroe","14","12","10","3","5","4","5","208","168","162","153","158"
"Middlesex","Piscataway","17","6","49","43","36","54","54","585","545","467","542","425"
"Hudson","North Bergen","32","8","115","116","107","96","98","684","658","602","485","435"
"Middlesex","Perth Amboy","19","6","247","213","210","171","165","987","761","806","843","721"
"Hudson","Kearny","32","8, 9","87","70","85","51","38","898","796","773","632","677"
"Morris","Mendham Twp","25","11","0","1","0","0","0","31","12","20","6","12"
"Morris","Morris Plains","26","11","4","3","5","4","3","51","68","73","50","61"
"Morris","Florham Park","27","11","2","3","7","6","3","102","84","100","81","65"
"Morris","Long Hill","21","7","0","1","0","1","3","46","35","39","39","43"
"Morris","Chester","25","7","1","0","0","0","0","14","16","15","23","6"
"Morris","Dover","25","7","38","30","34","29","26","259","247","226","190","187"
"Morris","Boonton","25","11","4","9","7","3","7","79","84","78","74","94"
"Morris","Butler","26","11","10","6","14","3","0","68","79","67","60","50"
"Morris","Mount Arlington","25","7","2","0","1","1","1","30","27","32","49","25"
"Morris","Mountain Lakes","25","11","0","0","0","0","0","57","25","47","50","43"
"Atlantic","Estell Manor","1","2","-","-","-","-","-","-","-","-","-","-"
"Atlantic","Galloway","9","2","53","85","90","73","73","669","540","591","665","399"
"Hunterdon","Flemington","16","7","5","6","8","9","4","72","71","65","79","64"
"Atlantic","Egg Harbor Twp","2","2","93","76","86","55","62","850","716","745","812","902"
"Hunterdon","Clinton Twp","23","7","1","4","1","1","1","61","42","42","71","50"
"Hunterdon","East Amwell","15","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Califon","23","7","0","0","0","0","0","1","1","2","2","0"
"Atlantic","Margate","2","2","2","6","10","4","9","257","224","123","133","135"
"Atlantic","Hammonton","8","2","17","15","16","17","9","155","96","170","177","149"
"Atlantic","Linwood","2","2","1","1","0","1","4","70","80","86","100","53"
"Union","Scotch Plains","22","7, 12","19","5","9","10","10","234","197","153","203","171"
"Union","Summit","21","7","12","7","10","8","7","174","99","181","192","143"
"Warren","Belvidere","24","5","1","0","0","4","1","21","20","84","44","47"
"Union","Kenilworth","21","7","10","4","6","8","9","148","141","162","136","114"
"Warren","Franklin Twp","23","7","-","-","-","-","-","-","-","-","-","-"
"Morris","Roxbury","25","7","4","6","8","5","1","284","191","213","237","127"
"Union","New Providence","21","7","5","0","1","0","0","87","30","56","58","65"
"Union","Hillside","20","10","96","87","79","47","41","555","483","466","588","540"
"Union","Linden","22","10","152","125","136","131","122","1,080","953","982","1,050","1,126"
"Union","Roselle","20","10","65","39","36","32","5","376","353","327","327","104"
