SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,Math,Reading and Writing,TOTAL_AVG,Math_State_avg,Reading_State_avg,TOTAL_STATE_AVG
COLTS NECK HIGH SCHOOL,25,1650,10,MONMOUTH,FREEHOLD REGIONAL,584.0,579.0,1163.0,543,542,1085
COLUMBIA HIGH SCHOOL,13,4900,30,ESSEX,SOUTH ORANGE-MAPLEWOOD,584.0,589.0,1173.0,543,542,1085
COMMUNICATIONS HIGH SCHOOL,25,3260,4,MONMOUTH,MONMOUTH CO VOCATIONAL,668.0,679.0,1347.0,543,542,1085
COUNTY PREP HIGH SCHOOL,17,2295,30,HUDSON,HUDSON COUNTY VOCATIONAL,523.0,522.0,1045.0,543,542,1085
CRANFORD HIGH SCHOOL,39,980,30,UNION,CRANFORD TWP,586.0,588.0,1174.0,543,542,1085
CREATIVE ARTS MORGAN VILLAGE ACADEMY,7,680,245,CAMDEN,CAMDEN CITY,406.0,431.0,837.0,543,542,1085
CRESSKILL HIGH SCHOOL,3,990,40,BERGEN,CRESSKILL BORO,607.0,597.0,1204.0,543,542,1085
CUMBERLAND REGIONAL HIGH SCHOOL,11,997,30,CUMBERLAND,CUMBERLAND REGIONAL,496.0,502.0,998.0,543,542,1085
DAVID BREARLEY MIDDLE/HIGH SCHOOL,39,2420,10,UNION,KENILWORTH BORO,490.0,506.0,996.0,543,542,1085
DAYLIGHT/TWILIGHT HIGH SCHOOL,21,5210,30,MERCER,TRENTON CITY,383.0,393.0,776.0,543,542,1085
DELAWARE VALLEY REGIONAL HIGH SCHOOL,19,1050,40,HUNTERDON,DELAWARE VALLEY REGIONAL,579.0,590.0,1169.0,543,542,1085
DELRAN HIGH SCHOOL,5,1060,5,BURLINGTON,DELRAN TWP,551.0,545.0,1096.0,543,542,1085
DELSEA REGIONAL HIGH SCHOOL,15,4940,50,GLOUCESTER,DELSEA REGIONAL H.S DIST.,532.0,535.0,1067.0,543,542,1085
DEPTFORD TOWNSHIP HIGH SCHOOL,15,1100,40,GLOUCESTER,DEPTFORD TWP,528.0,527.0,1055.0,543,542,1085
DOVER HIGH SCHOOL,27,1110,40,MORRIS,DOVER TOWN,515.0,509.0,1024.0,543,542,1085
DR RONALD MCNAIR HIGH SCHOOL,17,2390,75,HUDSON,JERSEY CITY,650.0,632.0,1282.0,543,542,1085
DR. CHARLES E. BRIMM MEDICAL ARTS HIGH SCHOOL,7,680,29,CAMDEN,CAMDEN CITY,488.0,487.0,975.0,543,542,1085
DUMONT HIGH SCHOOL,3,1130,40,BERGEN,DUMONT BORO,558.0,549.0,1107.0,543,542,1085
DUNELLEN HIGH SCHOOL,23,1140,40,MIDDLESEX,DUNELLEN BORO,532.0,554.0,1086.0,543,542,1085
DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,3,1370,40,BERGEN,ENGLEWOOD CITY,561.0,559.0,1120.0,543,542,1085
EAGLE ACADEMY FOR YOUNG MEN OF NEWARK,13,3570,307,ESSEX,NEWARK CITY,,,0.0,543,542,1085
EAST BRUNSWICK HIGH SCHOOL,23,1170,50,MIDDLESEX,EAST BRUNSWICK TWP,625.0,606.0,1231.0,543,542,1085
