"","","Res. Enroll.","Res. Enroll.","Res. Enroll.","Res. Enroll.","Res. Enroll.","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","State Aid ($)","State Aid ($)","State Aid ($)","State Aid ($)","State Aid ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","EVPP ($)","EVPP ($)","EVPP ($)","EVPP ($)","EVPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)"
"County  ","School District Name  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  "
"Union","Roselle Park","-","1,957","1,994.5","2,010","1,996.5","-","19,183,851","20,454,668","20,454,668","21,754,978","-","10,756,283","10,460,264","10,554,830","10,963,398","-","29,940,134","30,914,932","31,009,498","32,718,376","-","35.93","33.84","34.04","33.51","-","15,299","15,500.09","15,427.61","16,387.87","-","1,031,628,295","1,089,986,053","1,102,089,301","1,185,419,929","-","361,014,733","379,711,670","388,108,855","404,119,793","-","527,147.83","546,495.89","548,303.13","593,749.03","-","184,473.55","190,379.38","193,088.98","202,414.12","-","0.61","0.62","0.61","0.62","-","0.79","0.8","0.77","0.76"
"Camden","Merchantville","-","413","469","476","545","-","4,259,281","4,569,664","4,569,664","5,877,179","-","2,392,639","2,319,673","2,342,831","2,473,482","-","6,651,920","6,889,337","6,912,495","8,350,661","-","35.97","33.67","33.89","29.62","-","16,106.34","14,689.42","14,522.05","15,322.31","-","239,326,595","248,366,379","253,579,856","253,543,155","-","112,541,641","104,803,672","110,917,808","116,709,203","-","579,483.28","529,565.84","532,730.79","465,216.8","-","272,497.92","223,461.99","233,020.61","214,145.33","-","0.67","0.6","0.59","0.49","-","1.16","0.94","0.92","0.81"
"Camden","Mount Ephraim","-","604","604","597","556","-","5,335,933","5,502,651","5,502,651","6,071,162","-","3,950,938","3,916,565","3,949,876","4,015,533","-","9,286,871","9,419,216","9,452,527","10,086,695","-","42.54","41.58","41.79","39.81","-","15,375.61","15,594.73","15,833.38","18,141.54","-","266,952,793","280,381,404","284,539,361","287,230,725","-","125,753,447","117,230,925","118,916,849","125,951,094","-","441,974.82","464,207.62","476,615.35","516,602.02","-","208,201.07","194,090.94","199,190.7","226,530.74","-","0.51","0.53","0.53","0.54","-","0.89","0.81","0.79","0.85"
"Camden","Oaklyn","-","468","465","443","441","-","4,664,481","4,786,706","4,786,706","5,079,691","-","2,629,496","2,602,944","2,627,039","2,627,039","-","7,293,977","7,389,650","7,413,745","7,706,730","-","36.05","35.22","35.43","34.09","-","15,585.42","15,891.72","16,735.32","17,475.58","-","284,549,176","280,240,079","270,781,200","279,984,808","-","103,952,124","107,486,736","111,193,661","118,389,396","-","608,011.06","602,666.84","611,244.24","634,886.19","-","222,119.92","231,154.27","251,001.49","268,456.68","-","0.71","0.69","0.68","0.67","-","0.95","0.97","1","1.01"
"Camden","Pennsauken","-","5,213.5","5,249","5,099","4,960","-","35,323,974","37,284,104","37,284,104","39,764,188","-","49,489,975","48,134,029","48,526,369","49,336,778","-","84,813,949","85,418,133","85,810,473","89,100,966","-","58.35","56.35","56.55","55.37","-","16,268.14","16,273.22","16,828.88","17,963.9","-","2,497,596,447","2,442,068,759","2,486,459,841","2,430,027,307","-","716,204,207","725,669,164","736,068,186","770,792,606","-","479,063.29","465,244.57","487,636.76","489,924.86","-","137,374.93","138,249.03","144,355.4","155,401.74","-","0.56","0.53","0.54","0.51","-","0.59","0.58","0.57","0.59"
"Union","Westfield","-","6,303","6,321.5","6,365","6,265.5","-","88,967,333","91,791,272","91,791,272","98,644,716","-","4,220,789","2,956,317","3,032,999","3,249,657","-","93,188,122","94,747,589","94,824,271","101,894,373","-","4.53","3.12","3.2","3.19","-","14,784.73","14,988.15","14,897.76","16,262.77","-","7,347,259,780","7,493,429,972","7,645,211,319","7,900,550,548","-","2,682,806,117","2,751,228,074","3,043,538,271","3,014,534,340","-","1,165,676.63","1,185,387.96","1,201,132.96","1,260,960.9","-","425,639.56","435,217.6","478,167.84","481,132.29","-","1.36","1.35","1.34","1.32","-","1.82","1.82","1.9","1.81"
"Union","Winfield","-","168","164","158.5","150.5","-","1,526,912","1,557,450","1,557,450","1,652,778","-","1,639,754","1,660,574","1,672,892","1,699,398","-","3,166,666","3,218,024","3,230,342","3,352,176","-","51.78","51.6","51.79","50.7","-","18,849.2","19,622.1","20,380.71","22,273.59","-","16,537,823","16,539,043","16,539,073","16,616,353","-","33,224,302","32,856,127","34,138,997","37,433,524","-","98,439.42","100,847.82","104,347.46","110,407.66","-","197,763.7","200,342.24","215,387.99","248,727.73","-","0.11","0.11","0.12","0.12","-","0.84","0.84","0.85","0.94"
"Warren","Allamuchy","-","577","580","560","574","-","8,089,997","8,345,824","8,345,824","8,811,890","-","603,347","560,195","568,557","583,757","-","8,693,344","8,906,019","8,914,381","9,395,647","-","6.94","6.29","6.38","6.21","-","15,066.45","15,355.21","15,918.54","16,368.72","-","580,198,931","591,033,906","604,365,647","645,486,631","-","202,275,464","212,262,891","214,182,570","228,907,232","-","1,005,544.07","1,019,023.98","1,079,224.37","1,124,541.17","-","350,564.06","365,970.5","382,468.88","398,793.09","-","1.17","1.16","1.2","1.18","-","1.5","1.53","1.52","1.5"
"Camden","Magnolia","-","405","413","421","390","-","3,506,489","3,615,371","3,615,371","4,084,856","-","3,118,803","3,058,381","3,073,391","3,131,770","-","6,625,292","6,673,752","6,688,762","7,216,626","-","47.07","45.83","45.95","43.4","-","16,358.75","16,159.21","15,887.8","18,504.17","-","174,107,151","180,329,087","187,191,016","187,958,652","-","65,713,626","68,288,383","70,060,391","71,132,395","-","429,894.2","436,632.17","444,634.24","481,945.26","-","162,255.87","165,347.17","166,414.23","182,390.76","-","0.5","0.5","0.5","0.5","-","0.69","0.69","0.66","0.69"
"Bergen","Palisades Park","-","1,629","1,672","1,670","1,676","-","20,065,548","21,425,623","21,425,623","23,253,255","-","2,018,911","1,900,447","1,935,770","1,936,474","-","22,084,459","23,326,070","23,361,393","25,189,729","-","9.14","8.15","8.29","7.69","-","13,557.07","13,951","13,988.86","15,029.67","-","2,458,732,492","2,569,744,732","2,795,287,869","2,977,015,199","-","391,928,014","408,018,473","424,398,412","457,328,246","-","1,509,350.82","1,536,928.67","1,673,825.07","1,776,262.05","-","240,594.24","244,030.19","254,130.79","272,868.88","-","1.76","1.75","1.87","1.86","-","1.03","1.02","1.01","1.03"
"Bergen","Paramus","-","3,871.5","3,842","3,752","3,730.5","-","72,774,791","74,230,284","74,230,284","78,406,873","-","2,619,586","2,000,986","2,048,461","2,204,967","-","75,394,377","76,231,270","76,278,745","80,611,840","-","3.47","2.62","2.69","2.74","-","19,474.2","19,841.56","20,330.16","21,608.86","-","8,676,049,658","8,719,876,513","9,650,648,203","9,914,233,591","-","1,164,418,734","1,198,290,856","1,252,050,170","1,322,417,185","-","2,241,004.69","2,269,619.08","2,572,134.38","2,657,615.22","-","300,766.82","311,892.47","333,702.07","354,487.92","-","2.61","2.59","2.87","2.78","-","1.28","1.31","1.32","1.33"
"Bergen","Park Ridge","-","1,279","1,215.5","1,230.5","1,195","-","25,657,068","26,475,355","26,475,355","29,025,581","-","945,322","577,598","592,588","630,371","-","26,602,390","27,052,953","27,067,943","29,655,952","-","3.55","2.14","2.19","2.13","-","20,799.37","22,256.65","21,997.52","24,816.7","-","1,766,719,171","1,866,947,775","1,842,799,975","1,846,874,570","-","532,548,698","500,703,744","514,143,581","553,667,705","-","1,381,328.52","1,535,950.45","1,497,602.58","1,545,501.73","-","416,378.97","411,932.33","417,833.06","463,320.26","-","1.61","1.75","1.67","1.62","-","1.78","1.73","1.66","1.74"
"Bergen","Pascack Valley Regional","-","2,040","2,069","2,038","2,043","-","43,190,207","44,403,138","44,403,138","47,765,133","-","1,423,658","1,110,542","1,136,545","1,214,919","-","44,613,865","45,513,680","45,539,683","48,980,052","-","3.19","2.44","2.5","2.48","-","21,869.54","21,997.91","22,345.28","23,974.57","-","2,536,280,891","2,633,119,558","2,650,163,926","2,764,195,782","-","723,405,363","717,395,369","793,034,796","826,444,549","-","1,243,274.95","1,272,653.24","1,300,374.84","1,353,008.21","-","354,610.47","346,735.32","389,124.04","404,524.99","-","1.45","1.45","1.45","1.42","-","1.51","1.45","1.54","1.52"
"Hudson","Bayonne","-","9,194","9,250.5","9,288.5","9,277.5","-","59,392,474","61,174,248","61,174,248","68,312,303","-","56,294,697","53,524,660","54,016,434","56,916,073","-","115,687,171","114,698,908","115,190,682","125,228,376","-","48.66","46.67","46.89","45.45","-","12,582.9","12,399.21","12,401.43","13,498.07","-","5,310,944,100","5,280,038,079","5,433,899,230","6,350,349,832","-","1,484,749,610","1,551,966,612","1,627,731,211","1,705,041,924","-","577,653.26","570,784.07","585,013.64","684,489.34","-","161,491.15","167,771.11","175,241.56","183,782.48","-","0.67","0.65","0.65","0.72","-","0.69","0.7","0.69","0.69"
"Hudson","East Newark","-","388","395","378","335","-","1,397,000","1,424,940","1,424,940","1,482,508","-","3,437,666","3,395,757","3,426,439","3,578,845","-","4,834,666","4,820,697","4,851,379","5,061,353","-","71.1","70.44","70.63","70.71","-","12,460.48","12,204.3","12,834.34","15,108.52","-","125,724,419","124,880,033","125,217,148","196,850,560","-","36,372,166","38,091,802","43,787,839","47,092,825","-","324,032.01","316,151.98","331,262.3","587,613.61","-","93,742.7","96,434.94","115,840.84","140,575.6","-","0.38","0.36","0.37","0.62","-","0.4","0.4","0.46","0.53"
"Hudson","Guttenberg","-","1,301","1,297","1,343","1,248","-","10,668,805","10,882,182","10,882,182","11,321,822","-","5,201,233","5,033,239","5,096,583","5,784,546","-","15,870,038","15,915,421","15,978,765","17,106,368","-","32.77","31.62","31.9","33.82","-","12,198.34","12,270.95","11,897.81","13,707.03","-","904,717,609","902,423,837","950,313,206","1,095,391,925","-","277,954,854","275,118,031","302,808,317","342,119,792","-","695,401.7","695,777.82","707,604.77","877,717.89","-","213,647.08","212,118.76","225,471.57","274,134.45","-","0.81","0.79","0.79","0.92","-","0.91","0.89","0.89","1.03"
"Monmouth","Hazlet","-","2,999","2,947","2,882.5","2,790","-","35,091,060","36,863,451","36,863,451","40,356,575","-","12,840,558","12,666,951","12,727,947","12,727,947","-","47,931,618","49,530,402","49,591,398","53,084,522","-","26.79","25.57","25.67","23.98","-","15,982.53","16,807.06","17,204.3","19,026.71","-","2,325,236,468","2,339,691,453","2,437,620,682","2,602,503,157","-","660,511,117","680,123,572","709,503,899","735,267,696","-","775,337.27","793,923.13","845,661.99","932,796.83","-","220,243.79","230,785.06","246,141.86","263,536.81","-","0.9","0.9","0.94","0.98","-","0.94","0.97","0.98","0.99"
"Monmouth","Henry Hudson Regional","-","312.5","298.5","314","327.5","-","7,305,929","7,247,264","7,247,264","7,184,726","-","827,644","797,840","800,630","784,617","-","8,133,573","8,045,104","8,047,894","7,969,343","-","10.18","9.92","9.95","9.85","-","26,027.43","26,951.77","25,630.24","24,333.87","-","580,532,248","538,130,341","563,552,663","675,323,388","-","144,346,067","134,508,636","140,391,693","164,272,173","-","1,857,703.19","1,802,781.71","1,794,753.7","2,062,056.15","-","461,907.41","450,615.2","447,107.3","501,594.42","-","2.16","2.05","2","2.16","-","1.97","1.89","1.77","1.89"
"Somerset","Manville","-","1,424.5","1,443","1,442","1,525.5","-","13,859,295","14,136,481","14,136,481","15,820,018","-","5,316,276","5,257,866","5,312,769","6,054,385","-","19,175,571","19,394,347","19,449,250","21,874,403","-","27.72","27.11","27.32","27.68","-","13,461.26","13,440.3","13,487.69","14,339.17","-","873,247,816","892,474,858","893,281,020","926,011,872","-","233,272,755","242,571,343","246,655,471","258,589,748","-","613,020.58","618,485.7","619,473.66","607,021.88","-","163,757.64","168,102.11","171,050.95","169,511.47","-","0.71","0.7","0.69","0.64","-","0.7","0.7","0.68","0.64"
"Somerset","Millstone","-","84","76","76","58","-","852,034","886,398","886,398","973,336","-","-","-","-","-","-","852,034","886,398","886,398","973,336","-","-","-","-","-","-","10,143.26","11,663.13","11,663.13","16,781.66","-","53,097,352","52,983,664","52,212,336","58,419,002","-","15,738,294","16,555,324","18,715,522","18,923,224","-","632,111.33","697,153.47","687,004.42","1,007,224.17","-","187,360.64","217,833.21","246,256.87","326,262.48","-","0.74","0.79","0.77","1.06","-","0.8","0.91","0.98","1.23"
"Bergen","Maywood","-","1,230","1,226.5","1,239.5","1,262.5","-","16,431,138","17,116,748","17,116,748","18,598,281","-","1,392,538","1,169,240","1,190,660","1,200,808","-","17,823,676","18,285,988","18,307,408","19,799,089","-","7.81","6.39","6.5","6.06","-","14,490.79","14,909.08","14,769.99","15,682.45","-","1,262,914,218","1,292,292,675","1,344,496,440","1,440,210,799","-","325,947,394","345,278,887","362,833,479","382,121,847","-","1,026,759.53","1,053,642.62","1,084,708.71","1,140,761.03","-","264,997.88","281,515.6","292,725.68","302,670.77","-","1.2","1.2","1.21","1.19","-","1.13","1.18","1.16","1.14"
"Bergen","Midland Park","-","1,005","1,035","948","913.5","-","18,204,842","18,705,258","18,705,258","20,021,446","-","749,426","610,186","635,510","647,158","-","18,954,268","19,315,444","19,340,768","20,668,604","-","3.95","3.16","3.29","3.13","-","18,859.97","18,662.26","20,401.65","22,625.73","-","1,151,607,247","1,183,369,793","1,228,726,759","1,249,136,831","-","306,622,665","305,612,550","326,047,966","352,721,530","-","1,145,877.86","1,143,352.46","1,296,125.27","1,367,418.53","-","305,097.18","295,277.83","343,932.45","386,121","-","1.33","1.3","1.45","1.43","-","1.3","1.24","1.36","1.45"
"Bergen","Lyndhurst","-","2,402","2,448.5","2,486.5","2,489.5","-","33,712,831","34,804,443","34,804,443","38,039,648","-","2,230,949","2,013,220","2,053,597","2,098,617","-","35,943,780","36,817,663","36,858,040","40,138,265","-","6.21","5.47","5.57","5.23","-","14,964.1","15,036.82","14,823.26","16,123.02","-","2,623,042,263","2,765,338,447","3,153,835,780","3,233,585,140","-","593,471,245","623,918,284","657,798,200","708,776,979","-","1,092,024.26","1,129,401.04","1,268,383.58","1,298,889.39","-","247,073.79","254,816.53","264,547.84","284,706.56","-","1.27","1.29","1.41","1.36","-","1.06","1.07","1.05","1.07"
"Bergen","Mahwah","-","3,092.5","2,996","2,955.5","2,879.5","-","56,096,899","57,218,837","57,218,837","61,981,537","-","2,676,952","2,306,791","2,346,236","2,427,120","-","58,773,851","59,525,628","59,565,073","64,408,657","-","4.55","3.88","3.94","3.77","-","19,005.29","19,868.37","20,153.97","22,368","-","5,951,157,119","5,891,312,631","6,012,236,516","6,044,918,922","-","1,568,846,289","1,457,433,091","1,560,480,667","1,585,816,134","-","1,924,383.87","1,966,392.73","2,034,253.6","2,099,294.64","-","507,306.8","486,459.64","527,992.11","550,726.21","-","2.24","2.24","2.27","2.2","-","2.17","2.04","2.09","2.07"
"Bergen","Lodi","-","3,419","3,382","3,357.5","3,286","-","38,330,150","38,510,840","38,510,840","39,509,273","-","15,465,683","14,369,247","14,508,710","15,800,234","-","53,795,833","52,880,087","53,019,550","55,309,507","-","28.75","27.17","27.36","28.57","-","15,734.38","15,635.74","15,791.38","16,831.86","-","2,059,640,572","2,121,684,709","2,062,411,437","2,452,661,066","-","517,875,119","531,026,678","555,184,299","585,556,636","-","602,410.23","627,346.16","614,269.97","746,397.16","-","151,469.76","157,015.58","165,356.46","178,197.39","-","0.7","0.72","0.68","0.78","-","0.65","0.66","0.66","0.67"
"Bergen","Northern Highlands Regional","-","1,040","1,018","1,026.5","1,004.5","-","20,144,534","20,547,424","20,547,424","21,955,948","-","1,114,605","583,316","596,272","646,988","-","21,259,139","21,130,740","21,143,696","22,602,936","-","5.24","2.76","2.82","2.86","-","20,441.48","20,757.11","20,597.85","22,501.68","-","1,444,005,828","1,441,256,639","1,497,555,324","1,517,474,494","-","480,149,841","472,439,750","535,169,806","558,072,962","-","1,388,467.14","1,415,772.73","1,458,894.62","1,510,676.45","-","461,682.54","464,086.2","521,353.93","555,572.88","-","1.62","1.61","1.63","1.58","-","1.97","1.94","2.07","2.09"
"Bergen","North Arlington","-","1,742","1,784.5","1,805.5","1,869","-","22,874,540","23,344,581","23,344,581","25,775,293","-","1,938,008","1,781,919","1,814,432","2,187,694","-","24,812,548","25,126,500","25,159,013","27,962,987","-","7.81","7.09","7.21","7.82","-","14,243.71","14,080.41","13,934.65","14,961.47","-","1,481,123,536","1,542,491,300","1,560,674,186","1,739,187,935","-","461,340,591","478,820,516","497,541,012","527,001,932","-","850,243.13","864,382.91","864,399.99","930,544.64","-","264,833.86","268,321.95","275,569.65","281,970","-","0.99","0.99","0.96","0.97","-","1.13","1.12","1.09","1.06"
"Bergen","New Milford","-","1,997.5","2,000","1,993.5","2,011.5","-","29,412,229","30,557,436","30,557,436","33,492,415","-","2,248,173","1,769,045","1,796,368","1,872,920","-","31,660,402","32,326,481","32,353,804","35,365,335","-","7.1","5.47","5.55","5.3","-","15,850.01","16,163.24","16,229.65","17,581.57","-","1,777,704,265","1,822,529,040","1,826,103,091","1,903,800,931","-","550,886,777","571,211,370","615,672,969","647,859,620","-","889,964.59","911,264.52","916,028.64","946,458.33","-","275,788.12","285,605.69","308,840.22","322,077.86","-","1.04","1.04","1.02","0.99","-","1.18","1.2","1.22","1.21"
"Bergen","Moonachie","-","386","396","402","401","-","7,059,543","7,200,734","7,200,734","8,325,950","-","402,182","393,175","404,659","410,811","-","7,461,725","7,593,909","7,605,393","8,736,761","-","5.39","5.18","5.32","4.7","-","19,330.89","19,176.54","18,918.89","21,787.43","-","844,660,327","889,675,349","830,195,078","779,916,838","-","71,427,578","76,299,961","95,093,270","93,901,863","-","2,188,239.19","2,246,654.92","2,065,161.89","1,944,929.77","-","185,045.54","192,676.67","236,550.42","234,169.23","-","2.55","2.56","2.3","2.04","-","0.79","0.81","0.94","0.88"
"Bergen","Montvale","-","1,044","995","992","962","-","14,600,284","14,893,610","14,893,610","16,037,355","-","689,124","501,519","513,778","552,470","-","15,289,408","15,395,129","15,407,388","16,589,825","-","4.51","3.26","3.33","3.33","-","14,645.03","15,472.49","15,531.64","17,245.14","-","1,502,976,799","1,478,858,568","1,533,981,913","1,520,838,871","-","340,991,291","344,594,298","392,920,531","370,735,237","-","1,439,632.95","1,486,290.02","1,546,352.73","1,580,913.59","-","326,620.01","346,325.93","396,089.24","385,379.66","-","1.68","1.69","1.72","1.66","-","1.4","1.45","1.57","1.45"
"Somerset","Somerset County Vocational","-","446","467","452.5","454.5","-","11,291,923","11,642,760","11,642,760","11,922,443","-","1,423,942","1,423,942","1,428,562","1,428,562","-","12,715,865","13,066,702","13,071,322","13,351,005","-","11.2","10.9","10.93","10.7","-","28,510.91","27,980.09","28,886.9","29,375.15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Somerset","Rocky Hill","-","91","109.5","92","111.5","-","1,650,025","1,559,812","1,559,812","1,884,280","-","-","-","-","-","-","1,650,025","1,559,812","1,559,812","1,884,280","-","-","-","-","-","-","18,132.14","14,244.86","16,954.48","16,899.37","-","123,361,692","133,190,209","128,340,669","134,792,588","-","32,385,331","51,754,181","36,695,892","41,637,610","-","1,355,622.99","1,216,348.94","1,395,007.27","1,208,902.13","-","355,882.76","472,640.92","398,868.39","373,431.48","-","1.58","1.39","1.56","1.27","-","1.52","1.98","1.58","1.41"
"Somerset","North Plainfield","-","3,370.5","3,294","3,325","3,398","-","28,490,467","29,060,276","29,060,276","30,838,998","-","25,411,568","24,652,565","24,863,280","25,804,395","-","53,902,035","53,712,841","53,923,556","56,643,393","-","47.14","45.9","46.11","45.56","-","15,992.3","16,306.27","16,217.61","16,669.63","-","1,497,196,545","1,530,468,311","1,545,136,858","1,650,676,409","-","480,182,200","495,730,799","513,390,244","541,116,135","-","444,206.07","464,623.05","464,702.81","485,778.81","-","142,466.16","150,495.08","154,403.08","159,245.48","-","0.52","0.53","0.52","0.51","-","0.61","0.63","0.61","0.6"
"Somerset","Montgomery","-","4,674","4,670.5","4,684","4,568.5","-","66,383,403","68,571,351","68,571,351","73,896,007","-","4,665,148","4,022,106","4,085,768","4,264,664","-","71,048,551","72,593,457","72,657,119","78,160,671","-","6.57","5.54","5.62","5.46","-","15,200.8","15,542.97","15,511.77","17,108.61","-","4,401,475,735","4,486,410,550","4,556,893,244","4,734,059,239","-","1,800,832,234","1,806,637,099","1,929,124,540","2,081,324,816","-","941,693.57","960,584.64","972,863.63","1,036,239.3","-","385,287.17","386,818.78","411,854.09","455,581.66","-","1.1","1.09","1.08","1.09","-","1.65","1.62","1.63","1.72"
"Somerset","Warren","-","1,852","1,786","1,758","1,652","-","38,501,488","39,002,007","39,002,007","40,178,034","-","1,629,953","1,224,961","1,247,692","1,319,191","-","40,131,441","40,226,968","40,249,699","41,497,225","-","4.06","3.05","3.1","3.18","-","21,669.24","22,523.5","22,895.16","25,119.39","-","2,953,815,851","2,985,943,055","3,014,376,343","3,109,909,435","-","1,042,865,072","1,028,605,484","1,083,315,086","1,176,136,089","-","1,594,932.96","1,671,860.61","1,714,662.31","1,882,511.76","-","563,102.09","575,926.92","616,220.19","711,946.79","-","1.86","1.91","1.91","1.97","-","2.41","2.41","2.44","2.68"
"Somerset","South Bound Brook","-","565","550","546","519","-","5,683,604","5,797,275","5,797,275","6,149,056","-","3,395,447","3,340,524","3,369,797","3,454,933","-","9,079,051","9,137,799","9,167,072","9,603,989","-","37.4","36.56","36.76","35.97","-","16,069.12","16,614.18","16,789.51","18,504.8","-","301,319,139","316,107,168","324,307,276","356,156,354","-","116,946,743","123,462,416","128,703,521","134,801,962","-","533,308.21","574,740.31","593,969.37","686,235.75","-","206,985.39","224,477.12","235,720.73","259,734.03","-","0.62","0.66","0.66","0.72","-","0.88","0.94","0.93","0.98"
"Somerset","Somerville","-","1,607.5","1,614","1,618.5","1,636","-","20,473,440","20,882,908","20,882,908","22,628,853","-","6,707,217","5,383,037","5,438,486","5,794,175","-","27,180,657","26,265,945","26,321,394","28,423,028","-","24.68","20.49","20.66","20.39","-","16,908.65","16,273.82","16,262.83","17,373.49","-","1,207,088,324","1,195,363,597","1,224,652,274","1,275,768,096","-","340,510,509","349,831,788","367,537,155","390,271,475","-","750,910.31","740,621.81","756,658.8","779,809.35","-","211,826.13","216,748.32","227,085.05","238,552.25","-","0.87","0.84","0.84","0.82","-","0.9","0.91","0.9","0.9"
"Somerset","Somerset Hills Regional","-","1,764.5","1,766","1,743.5","1,741.5","-","28,969,733","29,549,127","29,549,127","31,357,770","-","1,267,031","877,110","898,906","994,791","-","30,236,764","30,426,237","30,448,033","32,352,561","-","4.19","2.88","2.95","3.07","-","17,136.17","17,228.9","17,463.74","18,577.41","-","3,527,637,681","3,479,808,244","3,506,449,419","3,419,080,387","-","1,741,012,950","1,477,990,018","1,525,570,610","1,603,087,150","-","1,999,227.93","1,970,446.34","2,011,155.39","1,963,296.23","-","986,689.12","836,913.94","875,004.65","920,520.9","-","2.33","2.25","2.24","2.06","-","4.21","3.51","3.47","3.47"
"Salem","Upper Pittsgrove","-","488.5","455.5","463","437.5","-","3,965,591","4,043,102","4,043,102","4,291,166","-","3,481,814","3,502,043","3,506,443","3,506,443","-","7,447,405","7,545,145","7,549,545","7,797,609","-","46.75","46.41","46.45","44.97","-","15,245.46","16,564.53","16,305.71","17,823.11","-","301,839,144","317,163,236","318,855,194","315,853,737","-","94,104,914","97,037,695","100,188,452","107,051,310","-","617,889.75","696,296.9","688,672.13","721,951.4","-","192,640.56","213,035.55","216,389.75","244,688.71","-","0.72","0.79","0.77","0.76","-","0.82","0.89","0.86","0.92"
"Bergen","Garfield","-","4,905","4,850","4,897.5","4,896","-","25,232,470","25,989,445","25,989,445","29,256,412","-","65,971,923","55,908,626","56,248,834","56,596,841","-","91,204,393","81,898,071","82,238,279","85,853,253","-","72.33","68.27","68.4","65.92","-","18,594.17","16,886.2","16,791.89","17,535.39","-","2,116,339,387","2,143,761,502","2,230,214,370","2,512,146,697","-","548,700,434","573,489,510","598,171,258","645,203,641","-","431,465.73","442,012.68","455,378.13","513,101.86","-","111,865.53","118,245.26","122,138.08","131,781.79","-","0.5","0.5","0.51","0.54","-","0.48","0.5","0.48","0.5"
"Bergen","Glen Rock","-","2,440","2,461.5","2,495","2,538.5","-","40,521,909","41,319,529","41,319,529","46,150,041","-","1,485,467","1,081,249","1,111,263","1,197,037","-","42,007,376","42,400,778","42,430,792","47,347,078","-","3.54","2.55","2.62","2.53","-","17,216.14","17,225.59","17,006.33","18,651.6","-","2,460,273,732","2,516,158,864","2,511,482,736","2,645,493,963","-","830,757,680","811,994,004","895,717,030","915,413,262","-","1,008,308.91","1,022,205.51","1,006,606.31","1,042,148.5","-","340,474.46","329,877.72","359,004.82","360,611.88","-","1.17","1.17","1.12","1.09","-","1.45","1.38","1.42","1.36"
"Bergen","Hackensack","-","5,216.5","5,279","5,359.5","5,498","-","73,389,592","74,857,383","74,857,383","82,865,444","-","14,159,549","12,816,160","12,963,674","14,972,649","-","87,549,141","87,673,543","87,821,057","97,838,093","-","16.17","14.62","14.76","15.3","-","16,783.12","16,607.98","16,386.05","17,795.22","-","5,537,500,516","5,938,890,642","5,586,201,818","5,857,546,967","-","1,118,831,496","1,172,198,796","1,205,231,298","1,267,373,472","-","1,061,535.61","1,125,002.96","1,042,299.06","1,065,395.96","-","214,479.34","222,049.4","224,877.56","230,515.36","-","1.24","1.28","1.16","1.12","-","0.92","0.93","0.89","0.87"
"Bergen","Harrington Park","-","657","654","631","613","-","10,511,796","10,833,817","10,833,817","11,980,421","-","549,573","288,619","296,531","317,419","-","11,061,369","11,122,436","11,130,348","12,297,840","-","4.97","2.59","2.66","2.58","-","16,836.18","17,006.78","17,639.22","20,061.73","-","646,140,502","656,615,174","676,728,416","675,773,489","-","197,652,434","198,191,380","206,077,419","221,566,005","-","983,471.08","1,003,998.74","1,072,469.76","1,102,403.73","-","300,840.84","303,044.92","326,588.62","361,445.36","-","1.15","1.14","1.2","1.15","-","1.29","1.27","1.29","1.36"
